情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S1 只增,0,114203.276,1.0,0.0,55760.079,1.0,5436.054,1.0,53007.143,1.0,
S1 只增,1,105005.678,0.91946,8.054,55620.036,0.99749,5471.357,1.00649,43914.286,0.82846,
S1 只增,2,99590.912,0.87205,12.795,55620.039,0.99749,5492.302,1.01035,38478.571,0.72591,
S1 只增,3,97056.093,0.84985,15.015,55612.931,0.99736,5503.876,1.01248,35939.286,0.67801,
S1 只增,4,94727.142,0.82946,17.054,55613.309,0.99737,5510.262,1.01365,33603.571,0.63394,
S1 只增,5,92664.767,0.8114,18.86,55613.492,0.99737,5515.561,1.01463,31535.714,0.59493,
S1 只增,6,90659.59,0.79384,20.616,54758.89,0.98204,5514.985,1.01452,30385.714,0.57324,
S1 只增,7,88824.238,0.77777,22.223,54766.753,0.98219,5518.199,1.01511,28539.286,0.5384,
S1 只增,8,86997.975,0.76178,23.822,54772.284,0.98228,5522.12,1.01583,26703.571,0.50377,
S1 只增,9,85269.78,0.74665,25.335,54767.659,0.9822,5527.122,1.01675,24975.0,0.47116,
S1 只增,10,83748.214,0.73333,26.667,54768.439,0.98222,5529.775,1.01724,23450.0,0.44239,1%
S1 只增,11,82238.061,0.7201,27.99,54778.606,0.9824,5530.884,1.01744,21928.571,0.41369,
S1 只增,12,80932.855,0.70867,29.133,54737.978,0.98167,5534.163,1.01805,20660.714,0.38977,
S1 只增,13,79729.615,0.69814,30.186,54336.87,0.97448,5532.031,1.01766,19860.714,0.37468,
S1 只增,14,78661.407,0.68878,31.122,53989.034,0.96824,5529.516,1.01719,19142.857,0.36114,
S1 只增,15,77710.618,0.68046,31.954,53925.475,0.9671,5528.001,1.01691,18257.143,0.34443,
S1 只增,16,76868.769,0.67309,32.691,53917.494,0.96696,5526.275,1.0166,17425.0,0.32873,
S1 只增,17,76083.515,0.66621,33.379,53918.464,0.96697,5525.765,1.0165,16639.286,0.31391,
S1 只增,18,75338.869,0.65969,34.031,53911.752,0.96685,5523.546,1.01609,15903.571,0.30003,
S1 只增,19,74729.735,0.65436,34.564,53307.296,0.95601,5518.867,1.01523,15903.571,0.30003,
S1 只增,20,74449.495,0.6519,34.81,53032.798,0.95109,5513.126,1.01418,15903.571,0.30003,
S1 只增,21,74215.494,0.64985,35.015,52804.522,0.947,5507.4,1.01312,15903.571,0.30003,
S1 只增,22,74008.544,0.64804,35.196,52602.893,0.94338,5502.079,1.01215,15903.571,0.30003,
S1 只增,23,73806.708,0.64627,35.373,52406.788,0.93986,5496.349,1.01109,15903.571,0.30003,
S1 只增,24,73648.119,0.64489,35.511,52253.94,0.93712,5490.607,1.01004,15903.571,0.30003,
S1 只增,25,73497.657,0.64357,35.643,52109.22,0.93453,5484.865,1.00898,15903.571,0.30003,
S1 只增,26,73376.316,0.64251,35.749,51993.077,0.93244,5479.667,1.00802,15903.571,0.30003,
S1 只增,27,73268.513,0.64156,35.844,51889.149,0.93058,5475.793,1.00731,15903.571,0.30003,
S1 只增,28,73173.074,0.64073,35.927,51798.932,0.92896,5470.57,1.00635,15903.571,0.30003,
S1 只增,29,73090.195,0.64,36.0,51721.163,0.92757,5465.461,1.00541,15903.571,0.30003,
S1 只增,30,73009.159,0.63929,36.071,51645.857,0.92622,5459.73,1.00436,15903.571,0.30003,
S1 只增,31,72928.611,0.63859,36.141,51571.051,0.92487,5453.988,1.0033,15903.571,0.30003,
S1 只增,32,72850.314,0.6379,36.21,51498.459,0.92357,5448.284,1.00225,15903.571,0.30003,
S1 只增,33,72775.214,0.63724,36.276,51425.765,0.92227,5445.877,1.00181,15903.571,0.30003,
S1 只增,34,72705.682,0.63663,36.337,51360.862,0.9211,5441.248,1.00096,15903.571,0.30003,
S1 只增,35,72639.147,0.63605,36.395,51299.805,0.92001,5435.771,0.99995,15903.571,0.30003,
S1 只增,36,72573.914,0.63548,36.452,51238.157,0.9189,5432.186,0.99929,15903.571,0.30003,
S1 只增,37,72511.631,0.63493,36.507,51181.581,0.91789,5426.478,0.99824,15903.571,0.30003,
S1 只增,38,72449.321,0.63439,36.561,51123.142,0.91684,5422.607,0.99753,15903.571,0.30003,
S1 只增,39,72388.765,0.63386,36.614,51068.313,0.91586,5416.88,0.99647,15903.571,0.30003,
S1 只增,40,72329.945,0.63334,36.666,51015.038,0.9149,5411.335,0.99545,15903.571,0.30003,
S1 只增,41,72273.561,0.63285,36.715,50963.813,0.91398,5406.177,0.9945,15903.571,0.30003,
S1 只增,42,72221.747,0.6324,36.76,50917.738,0.91316,5400.437,0.99345,15903.571,0.30003,
S1 只增,43,72170.691,0.63195,36.805,50872.415,0.91234,5394.705,0.99239,15903.571,0.30003,
S1 只增,44,72119.814,0.6315,36.85,50816.443,0.91134,5399.8,0.99333,15903.571,0.30003,
S1 只增,45,72069.01,0.63106,36.894,50769.253,0.91049,5396.185,0.99267,15903.571,0.30003,
S1 只增,46,72019.673,0.63063,36.937,50725.658,0.90971,5390.444,0.99161,15903.571,0.30003,
S1 只增,47,71971.169,0.6302,36.98,50682.457,0.90894,5385.141,0.99063,15903.571,0.30003,5%
S1 只增,48,71924.788,0.6298,37.02,50641.169,0.9082,5380.047,0.9897,15903.571,0.30003,
S1 只增,49,71879.823,0.6294,37.06,50600.02,0.90746,5376.231,0.989,15903.571,0.30003,
S1 只增,50,71835.396,0.62901,37.099,50561.006,0.90676,5370.818,0.988,15903.571,0.30003,
S1 只增,51,71791.344,0.62863,37.137,50522.526,0.90607,5365.247,0.98697,15903.571,0.30003,
S1 只增,52,71750.297,0.62827,37.173,50487.203,0.90544,5359.523,0.98592,15903.571,0.30003,
S1 只增,53,71709.423,0.62791,37.209,50449.429,0.90476,5356.423,0.98535,15903.571,0.30003,
S1 只增,54,71669.677,0.62756,37.244,50415.305,0.90415,5350.801,0.98432,15903.571,0.30003,
S1 只增,55,71630.261,0.62722,37.278,50381.257,0.90354,5345.433,0.98333,15903.571,0.30003,
S1 只增,56,71593.841,0.6269,37.31,50348.46,0.90295,5341.809,0.98266,15903.571,0.30003,
S1 只增,57,71556.98,0.62658,37.342,50316.098,0.90237,5337.311,0.98184,15903.571,0.30003,
S1 只增,58,71520.89,0.62626,37.374,50285.74,0.90182,5331.579,0.98078,15903.571,0.30003,
S1 只增,59,71484.842,0.62594,37.406,50255.006,0.90127,5326.265,0.9798,15903.571,0.30003,
S1 只增,60,71449.136,0.62563,37.437,50225.032,0.90073,5320.532,0.97875,15903.571,0.30003,
S1 只增,61,71413.941,0.62532,37.468,50188.123,0.90007,5322.246,0.97906,15903.571,0.30003,
S1 只增,62,71378.579,0.62501,37.499,50158.254,0.89954,5316.754,0.97805,15903.571,0.30003,
S1 只增,63,71344.015,0.62471,37.529,50129.133,0.89901,5311.311,0.97705,15903.571,0.30003,
S1 只增,64,71309.495,0.62441,37.559,50100.263,0.8985,5305.661,0.97601,15903.571,0.30003,
S1 只增,65,71276.94,0.62412,37.588,50072.734,0.898,5300.634,0.97509,15903.571,0.30003,
S1 只增,66,71245.963,0.62385,37.615,50045.849,0.89752,5296.543,0.97434,15903.571,0.30003,
S1 只增,67,71215.171,0.62358,37.642,50020.206,0.89706,5291.394,0.97339,15903.571,0.30003,
S1 只增,68,71184.827,0.62332,37.668,49993.644,0.89658,5287.611,0.97269,15903.571,0.30003,
S1 只增,69,71154.672,0.62305,37.695,49967.725,0.89612,5283.376,0.97191,15903.571,0.30003,
S1 只增,70,71125.129,0.62279,37.721,49943.8,0.89569,5277.758,0.97088,15903.571,0.30003,
S1 只增,71,71095.8,0.62254,37.746,49919.787,0.89526,5272.442,0.9699,15903.571,0.30003,
S1 只增,72,71067.302,0.62229,37.771,49896.657,0.89485,5267.074,0.96891,15903.571,0.30003,
S1 只增,73,71039.396,0.62204,37.796,49874.411,0.89445,5261.413,0.96787,15903.571,0.30003,
S1 只增,74,71012.18,0.62181,37.819,49850.694,0.89402,5257.915,0.96723,15903.571,0.30003,
S1 只增,75,70985.678,0.62157,37.843,49829.746,0.89365,5252.361,0.96621,15903.571,0.30003,
S1 只增,76,70959.233,0.62134,37.866,49807.259,0.89324,5248.402,0.96548,15903.571,0.30003,
