情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S2 只减,10%,94,94,114207.772,1.00004,-0.004,55751.905,5448.724,53007.143
S2 只减,20%,188,188,114225.397,1.00019,-0.019,55741.632,5476.622,53007.143
S2 只减,30%,282,282,114244.746,1.00036,-0.036,55726.893,5510.709,53007.143
S2 只减,40%,376,376,114317.738,1.001,-0.1,55708.977,5601.618,53007.143
S2 只减,50%,469,469,114421.893,1.00191,-0.191,55679.312,5735.439,53007.143
S2 只减,60%,563,563,114704.229,1.00439,-0.439,55694.885,6002.201,53007.143
S2 只减,70%,657,657,115243.069,1.0091,-0.91,55661.725,6574.201,53007.143
S2 只减,80%,751,751,116625.207,1.02121,-2.121,55922.503,7695.562,53007.143
S2 只减,90%,845,845,120449.934,1.0547,-5.47,56250.302,11192.489,53007.143
