删除序号,station_id,经度,纬度
1,313744932_3413,113.239207,23.19439
2,914401153_JT0045,113.217082,23.363041
3,313744932_3408,113.548495,23.128645
4,914401153_JT0100,113.321326,23.120687
5,MA0019FW4_GZYY-BYSF-020-0010,113.281281,23.197834
6,914401153_JT0096,113.255643,23.128971
7,395815801_4401130033,113.404503,23.053473
8,MA0019FW4_GZYY-GZXM-020-0029,113.258137,23.221877
9,395815801_4401110059,113.268434,23.206579
10,395815801_4401130008,113.360046,22.978108
11,313744932_335,113.177275,23.06893
12,313744932_1376,113.349668,23.254231
13,395815801_4401030001,113.227372,23.069645
14,313744932_2355,113.227898,23.071733
15,313744932_789,113.298778,23.220959
16,313744932_506,113.235314,23.212132
17,395815801_4401060022,113.36324,23.127203
18,395815801_4401140003,113.22491,23.38733
19,313744932_447,113.328914,22.994719
20,313744932_97,113.245349,23.174136
21,726811355_304,113.309535,23.019505
22,313744932_2571,113.250322,23.163123
23,313744932_2929,113.30191,23.225783
24,313744932_61,113.319993,23.168469
25,395815801_4401110003,113.244431,23.197476
26,313744932_1087,113.249911,23.251988
27,313744932_3222,113.339118,23.18449
28,395815801_4401120012,113.514368,23.06076
29,MA1FP0228_11123,113.342076,23.152198
30,313744932_878,113.328943,22.994211
31,395815801_4401060010,113.329365,23.143562
32,313744932_899,113.248675,23.165911
33,MA0019FW4_GZYY-DXCZ-020-0006,113.401083,23.056019
34,MA0019FW4_GZYY-DYSW-020-0005,113.396951,23.116897
35,313744932_11633,113.24331,23.126825
36,313744932_478,113.281077,23.247335
37,914401153_JT0143,113.53777,23.113013
38,395815801_4401110027,113.282972,23.240748
39,MA0019FW4_GZYY-SYNH-020-0003,113.325635,23.021892
40,313744932_398,113.367656,23.044376
41,313744932_1704,113.270362,23.233363
42,313744932_1384,113.207918,23.238054
43,MA0019FW4_GZYY-CHCY-020-0004,113.235854,23.166429
44,320513112_20-246,113.218875,23.38979
45,320513112_20-283,113.195611,23.40334
46,313744932_17,113.340693,23.177589
47,313744932_794,113.296819,23.229378
48,395815801_4401130007,113.34423,22.94232
49,313744932_733,113.31266,23.274265
50,313744932_11745,113.276613,23.211954
51,313744932_1749,113.322437,23.169231
52,395815801_4401130009,113.356046,22.977898
53,313744932_339,113.234993,23.212477
54,313744932_2594,113.354195,23.186855
55,313744932_3783,113.40417,23.049419
56,395815801_4401030007,113.210425,23.054544
57,313744932_2786,113.297184,23.229011
58,313744932_2422,113.401992,23.158157
59,313744932_1582,113.355341,22.94173
60,395815801_4401060029,113.397641,23.115796
61,395815801_4401180005,113.663766,23.130467
62,320513112_20-277,113.21825,23.362885
63,MA0019FW4_GZYY-SSCC-020-0023,113.407171,23.051774
64,313744932_1452,113.251815,23.159438
65,395815801_4401060030,113.414692,23.1128
66,313744932_3172,113.235238,23.212134
67,313744932_1490,113.576397,23.113475
68,313744932_2711,113.266376,23.217349
69,395815801_4401030004,113.228877,23.078679
70,395815801_4401060042,113.369963,23.134554
71,395815801_4401060037,113.370289,23.134227
72,914401153_JT0002,113.225021,23.100614
73,313744932_1377,113.248459,23.182027
74,313744932_3555,113.283807,23.205985
75,395815801_4401180013,113.590265,23.156629
76,313744932_2267,113.317356,23.144292
77,313744932_1852,113.283066,23.259325
78,313744932_3048,113.298778,23.220959
79,914401153_JT0027,113.24101,23.13691
80,313744932_1691,113.253755,23.240658
81,914401153_0115,113.251267,23.109367
82,313744932_504,113.262256,23.138408
83,313744932_3144,113.317516,23.151581
84,313744932_235,113.292822,23.217506
85,395815801_4401060002,113.400394,23.135954
86,395815801_4401030003,113.223708,23.092143
87,313744932_2447,113.377441,22.94289
88,313744932_2862,113.446288,23.175044
