情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,10,10,83748.132,0.73333,26.667,54768.225,5529.908,23450.0
S3 等量调配,5%,47,47,71971.845,0.63021,36.979,50679.378,5388.896,15903.571
S3 等量调配,10%,94,94,70523.267,0.61752,38.248,49446.918,5172.777,15903.571
S3 等量调配,20%,188,188,69180.565,0.60577,39.423,48535.261,4741.732,15903.571
S3 等量调配,30%,282,282,68337.801,0.59839,40.161,48098.889,4335.341,15903.571
S3 等量调配,40%,376,376,67732.199,0.59308,40.692,47864.706,3963.922,15903.571
S3 等量调配,50%,469,469,67284.49,0.58916,41.084,47735.03,3645.888,15903.571
