删除序号,station_id,经度,纬度
149,359705330_141,113.272669,23.259507
150,MA5DT8Q54_4401140112,113.186044,23.42677
151,MA5DT8Q54_4401140169,113.184661,23.425559
152,MA5DT8Q54_4401140135,113.224979,23.429292
153,101437000_8051,113.268131,23.164711
154,MA59TULR9_4401120002,113.552611,23.197756
155,101437000_11861,113.227074,23.19349
156,101437000_23959,113.34597,23.124453
157,101437000_1172,113.418437,23.132005
158,MA5BE03R2_HPCDZ-0001,113.514091,23.137618
159,101437000_806,113.366264,23.190997
160,MA1MY0GF9_27680,113.555038,23.188646
161,67345703X_12,113.288446,23.362785
162,MA5CLBJN0_666,113.259636,23.085882
163,101437000_7841,113.377884,23.13932
164,101437000_15511,113.332314,23.18018
165,101437000_16369,113.259447,23.086151
166,101437000_18205,113.514393,23.13761
167,101437000_23937,113.27279,23.163501
168,MA59EU2Y3_24801,113.52699,23.059084
169,101437000_812,113.345896,23.137088
170,914401153_JT0147,113.199505,23.40823
171,914401153_JT0150,113.349462,23.253775
172,101437000_2574,113.254214,23.080088
173,101437000_2626,113.341021,23.016749
174,101437000_2682,113.42065,23.129265
175,101437000_3034,113.310435,23.219008
176,101437000_3260,113.331167,23.012624
177,101437000_3952,113.359031,23.143751
178,MA5BLPMQ1_88,113.237003,23.167491
179,MA59P1AN5_6580,113.359031,23.143751
180,MA59P1AN5_6537,113.334101,23.082819
181,MA59P1AN5_6568,113.331347,23.012964
182,MA59P1AN5_6555,113.254214,23.080088
183,MA59P1AN5_6559,113.309193,22.985466
184,101437000_6949,113.398441,22.944407
185,101437000_12253,113.348966,23.255208
186,101437000_12599,113.348966,23.255208
187,101437000_12999,113.16955,23.466734
188,101437000_13337,113.421629,23.133547
189,101437000_25417,113.287827,23.344009
190,101437000_28385,113.374141,22.950974
191,101437000_32123,113.402646,23.113902
192,101437000_34525,113.370911,23.138388
193,MADC4MPG3_129442,113.2879,23.343996
194,395815801_4401110023,113.26318,23.216046
195,101437000_15737,113.361885,22.955169
196,101437000_24229,113.204185,23.116217
197,MA5AKE4G9_410,113.294836,23.305834
198,MA4KL69J6_4401120000100070201,113.503558,23.146802
199,101437000_450,113.631292,23.162375
200,101437000_566,113.398081,23.168706
201,101437000_794,113.2364,23.212804
202,101437000_938,113.421789,22.978201
203,101437000_1338,113.37044,23.135821
204,101437000_2624,113.309193,22.985466
205,101437000_4412,113.285326,23.069218
206,673457030_54,113.270273,23.254558
207,914401153_11530014,113.257507,23.226954
208,MA59P1AN5_6540,113.407083,23.191008
209,MA59P1AN5_6545,113.322119,23.177696
210,MA59P1AN5_6591,113.632082,23.16258
211,MA59P1AN5_6536,113.244532,23.165751
212,MA59P1AN5_6592,113.234533,23.074604
213,MA59P1AN5_6622,113.421789,22.978201
214,MA59P1AN5_6523,113.37044,23.135821
215,MA59P1AN5_6526,113.423793,23.135949
216,MA59P1AN5_6570,113.371242,23.146295
217,MA59P1AN5_6471,113.257641,23.075556
218,MA59P1AN5_6515,113.817511,23.303424
219,MA59P1AN5_6612,113.2364,23.212804
220,MA59P1AN5_6606,113.398081,23.168706
221,231227827_883,113.802248,23.301009
222,MA9UTL161_6913,113.365824,23.081261
223,101437000_7985,113.283255,23.016617
224,MA2KF49M9_738836293_001,113.296095,23.321071
225,MA1MY0GF9_82660,113.524266,22.78847
226,101437000_18075,113.339269,22.950298
227,101437000_26395,113.309566,23.041282
228,101437000_32127,113.322586,23.207736
229,625911998_392617,113.204001,23.428655
230,618478196_392617,113.204335,23.429388
231,MA5G42R26_21605,113.300632,23.009586
232,MA5DT8Q54_4401060010,113.38304,23.135604
233,101437000_17521,113.365609,22.916005
234,101437000_23929,113.285441,23.359933
235,314930470_975,113.237603,23.166984
236,914401153_JT0132,113.333287,23.190963
237,101437000_2354,113.470178,22.963901
238,101437000_3248,113.330108,23.171291
239,MA5AMUDH9_88,113.237003,23.167491
240,914401153_JT0164,113.544613,23.109929
241,726811355_5775,113.474831,23.172247
242,554443284_5895,113.365201,23.080833
243,101437000_4770,113.587195,23.534088
244,ruyuexjpt_88,113.237003,23.167491
245,MA5AK2NB6_66,113.365201,23.080833
246,MA0019FW4_GZYY-GZTH-020-0032,113.386329,23.133538
247,349861452_GZYY-GZTH-020-0032,113.386329,23.133538
248,914401153_11530012,113.537507,23.103501
249,MA59P1AN5_6548,113.470178,22.963901
250,MA59P1AN5_6597,113.312648,23.075362
251,MA59P1AN5_6554,113.254271,23.429644
252,MA59P1AN5_6567,113.330108,23.171291
253,MA008CB97_20,113.337388,22.941348
254,MA5DT8Q54_4401140044,113.213189,23.388485
255,MA5DT8Q54_4401110266,113.297374,23.296173
256,MA1MY0GF9_37710,113.537477,23.103559
257,101437000_12679,113.273673,22.961002
258,101437000_13703,113.227824,23.417826
259,101437000_15085,113.393069,23.126798
260,101437000_15893,113.359017,23.170198
261,101437000_16469,113.29161,22.964633
262,101437000_17373,113.343847,22.916401
263,PENGHUI02_37,113.475014,23.171744
264,101437000_20207,113.312772,23.276144
265,101437000_30415,113.203287,23.430155
266,101437000_31731,113.609093,23.127845
267,101437000_32573,113.245258,23.173985
268,625911998_386911,113.285514,22.967911
269,101437000_37825,113.180239,23.067941
270,101437000_11611,113.329801,23.116196
271,MA5DT8Q54_4401060573,113.339506,23.17104
272,359950395_GZ01ZJZ0002,113.290036,23.207902
273,101437000_11,113.34983,22.973159
274,321895837_1310,113.339677,22.937022
275,914401153_JT0167,113.308533,22.988542
