删除序号,station_id,经度,纬度
46,MA5DT8Q54_4401110224,113.213325,23.228486
47,101437000_798,113.395762,23.097156
48,101437000_13887,113.383696,23.134276
49,MA59P1AN5_6558,113.241954,23.246152
50,914401153_JT0135,113.24853,23.253856
51,MA59P1AN5_6546,113.220275,23.062022
52,321895837_1525,113.360918,22.999265
53,726811355_6267,113.363663,22.969007
54,PENGHUI02_39,113.363665,22.969007
55,565843400_CAGDAE010502,113.28506,23.342893
56,MA59P1AN5_6596,113.543839,23.113929
57,MA5D3Y437_637,113.227074,23.19349
58,101437000_5618,113.247368,23.209804
59,101437000_1172,113.418437,23.132005
60,MA5CLBJN0_666,113.259636,23.085882
61,101437000_7841,113.377884,23.13932
62,101437000_15511,113.332314,23.18018
63,101437000_2574,113.254214,23.080088
64,101437000_3034,113.310435,23.219008
65,MA59P1AN5_6555,113.254214,23.080088
66,101437000_6949,113.398441,22.944407
67,MA5BLPMQ1_88,113.237003,23.167491
68,101437000_2126,113.243358,23.082004
69,101437000_13337,113.421629,23.133547
70,101437000_25417,113.287827,23.344009
71,101437000_32123,113.402646,23.113902
72,101437000_34525,113.370911,23.138388
73,MADC4MPG3_129442,113.2879,23.343996
74,395815801_4401110023,113.26318,23.216046
75,101437000_15737,113.361885,22.955169
76,101437000_112,113.257641,23.075556
77,101437000_794,113.2364,23.212804
78,101437000_4412,113.285326,23.069218
79,MA59CU773_117521,113.270273,23.254558
80,MA59P1AN5_6545,113.322119,23.177696
81,MA59P1AN5_6526,113.423793,23.135949
82,101437000_4630,113.234533,23.074604
83,MA9UTL161_6913,113.365824,23.081261
84,101437000_18075,113.339269,22.950298
85,101437000_32127,113.322586,23.207736
86,625911998_392617,113.204001,23.428655
87,618478196_392617,113.204335,23.429388
88,MA5G42R26_21605,113.300632,23.009586
89,MA5DT8Q54_4401060010,113.38304,23.135604
90,914401153_JT0132,113.333287,23.190963
91,914401153_JT0164,113.544613,23.109929
92,101437000_3248,113.330108,23.171291
93,MA5AMUDH9_88,113.237003,23.167491
94,MA0019FW4_GZYY-GZTH-020-0032,113.386329,23.133538
95,349861452_GZYY-GZTH-020-0032,113.386329,23.133538
96,MA008CB97_20,113.337388,22.941348
97,MA5DT8Q54_4401140044,113.213189,23.388485
98,101437000_13703,113.227824,23.417826
99,101437000_16469,113.29161,22.964633
100,101437000_32573,113.245258,23.173985
101,625911998_386911,113.285514,22.967911
102,101437000_37825,113.180239,23.067941
103,MA5DT8Q54_4401060573,113.339506,23.17104
104,359950395_GZ01ZJZ0002,113.290036,23.207902
105,321895837_1310,113.339677,22.937022
106,101437000_3526,113.305727,22.969453
107,MA59P1AN5_6516,113.366526,22.917931
108,101437000_23915,113.289829,23.207956
109,101437000_550,113.220565,23.197287
110,101437000_564,113.397291,23.170791
111,MA5AK2NB6_50,113.40671,22.960073
112,MA59P1AN5_6604,113.220565,23.197287
113,101437000_12111,113.217545,23.124415
114,101437000_22855,113.363224,22.949983
115,101437000_58,113.200632,23.406079
116,101437000_4768,113.424942,22.953931
117,101437000_4716,113.221269,23.256334
118,101437000_602,113.194492,23.394815
119,MA59P1AN5_6595,113.424942,22.953931
120,101437000_5292,113.349463,23.182725
121,914401153_11530039,113.297262,23.279011
122,101437000_11979,113.341553,22.97002
123,101437000_30241,113.598745,23.123119
124,MA59J8YL8_13874bda7d4c227a,113.322788,23.270078
125,349861452_GZYY-GZJC-020-0020,113.258373,23.221596
126,MA59P1AN5_6590,113.221667,23.170636
127,MA59P1AN5_6534,113.294999,23.016501
128,321895837_2205,113.419496,22.962572
129,101437000_17427,113.258316,23.208893
130,101437000_21856,113.286864,23.270797
131,395815801_4401110033,113.317336,23.214615
132,395815801_4401110030,113.295308,23.256025
133,MA5CYYPT-1_S16248759767741,113.40851,23.109398
134,201437000_4401131002,113.304453,23.039964
135,101437000_37151,113.399593,22.956913
136,MA59P1AN5_6512,113.597677,23.126343
137,MA59P1AN5_6556,113.328711,22.94495
138,MA008CB97_22,113.348458,22.963053
139,MA5CLBJN0_421,113.288997,23.069231
140,MA5DT8Q54_4401130285,113.42849,22.954566
141,MA5DT8Q54_4401150254,113.556344,22.800151
142,MA5DT8Q54_4401060450,113.342666,23.179262
143,101437000_16299,113.289045,23.069183
144,101437000_16999,113.285632,23.033056
145,PENGHUI02_38,113.379936,23.104345
146,MA2KF49M9_MA5G42R26_001,113.30063,23.00958
147,101437000_23955,113.552266,23.110811
148,101437000_26899,113.23807,23.398582
149,101437000_29249,113.218325,23.381544
150,101437000_36553,113.245692,23.174461
151,101437000_25737,113.293611,23.272057
152,MA5CJRA40_115,113.331613,23.091361
153,MA51TJTF4_1809,113.293429,22.967757
154,101437000_3750,113.212727,23.229179
155,MA59P1AN5_6577,113.212727,23.229179
156,101437000_7915,113.360272,22.920071
157,MA5DT8Q54_4401150265,113.555108,22.800337
158,MADC4MPG3_121440,113.415961,23.131008
159,MA5DT8Q54_4401130032,113.289064,23.007952
160,726811355_6266,113.361872,22.968331
161,MA59P1AN5_6527,113.242731,23.390208
162,313744932_1401,113.285728,23.223578
163,101437000_2522,113.305041,22.980435
164,914401153_JT0168,113.312292,23.254749
165,349861452_GZYY-QNSL-020-0026,113.359382,22.919302
166,MA2KF49M9_MA5DGP9W2_001,113.362596,23.099668
167,MA4KUHJ97_NIO32eb1de635480971,113.296789,22.974274
168,MA9UTL161_17035,113.230529,23.206384
169,101437000_27563,113.373078,22.950908
170,101437000_31549,113.266171,23.215673
171,MA0019FW4_GZYY-ETLY-020-0027,113.362586,22.969378
172,MA51TJTF4_1892,113.363212,22.916721
173,MA5AUTPR9_8198,113.32179,23.207611
174,101437000_23495,113.415961,23.131008
175,565843400_CAGDAH008706,113.238657,23.397098
176,313744932_1844,113.249339,23.2097
177,313744932_1486,113.238217,23.398832
178,313744932_321619,113.234023,23.376495
179,395815801_4401110034,113.28784,23.344235
180,313744932_2957,113.5465,23.112323
181,101437000_124,113.378816,22.952631
182,101437000_448,113.410633,22.951471
183,101437000_4764,113.263939,23.197588
184,554443284_5319,113.20001,23.118728
185,101437000_12609,113.340508,23.249616
186,MA5DT8Q54_4401180139,113.625982,23.121174
187,101437000_14805,113.315473,23.256659
188,101437000_19845,113.339412,22.95049
189,101437000_19901,113.363828,22.961307
190,101437000_22774,113.386873,22.960659
191,101437000_23719,113.393047,22.956218
192,101437000_25381,113.204085,23.411249
193,101437000_30659,113.422274,22.951959
194,313744932_3396,113.263923,23.215917
195,395815801_4401110024,113.281037,23.229395
196,395815801_4401050013,113.337354,23.101054
197,395815801_4401060045,113.343126,23.180736
198,313744932_322171,113.360865,22.944968
199,914401153_JT0140,113.28309,23.230152
200,MA5CKFHPX_1864,113.2874,23.016374
201,304520582_aa2ba05e489543abbc3e5fad42e1867f,113.343389,23.191939
202,101437000_4834,113.224418,23.079906
203,101437000_6008,113.285263,23.224137
204,MA2KF49M9_MA56R1DB4_001,113.365265,22.926266
205,101437000_11209,113.286268,23.015518
206,MA5DT8Q54_4401140424,113.233364,23.37364
207,101437000_17425,113.258316,23.208893
208,101437000_14705,113.27945,23.239819
209,101437000_17175,113.261327,23.210787
210,101437000_28455,113.54991,22.801357
211,MA1YDN61Y_MA1YDN61X.324167,113.366676,23.090399
212,MA1YDN61Y_MA1YDN61X.325184,113.364458,23.100485
213,MA5DT8Q54_4401110684,113.337219,23.108099
214,MA5DT8Q54_4960,113.354347,23.099259
215,395815801_4401110038,113.279597,23.239884
216,395815801_4401110039,113.279596,23.239885
217,395815801_4401110032,113.282924,23.225493
218,914401153_JT0064,113.42245,22.953933
219,914401153_JT0070,113.284377,23.015723
220,914401153_JT0072,113.537963,23.112575
221,313744932_687,113.263899,23.212936
222,101437000_1354,113.295796,22.976521
223,101437000_438,113.620422,23.134401
224,MA0XMCJQ3_STA000084,113.25986,23.365065
225,101437000_12479,113.296286,23.01107
226,101437000_16711,113.247104,23.252752
227,101437000_29105,113.28676,23.015353
228,MA1YDN61Y_MA1YDN61X.329184,113.292123,23.219397
229,MA2KDUER1_141942059663036417,113.233522,23.373511
230,395815801_4401110040,113.269601,23.21688
231,313744932_1706,113.289893,23.34483
232,101437000_35989,113.385523,23.133326
233,395815801_4401030012,113.222098,23.098867
234,313744932_2378,113.399428,23.123722
235,313744932_2591,113.262198,23.21387
236,395815801_4401110036,113.241649,23.210272
237,313744932_508,113.239225,23.394551
238,313744932_1107,113.298473,23.326662
239,313744932_2381,113.258199,23.206299
240,313744932_2788,113.29863,23.327596
241,395815801_4401110058,113.309895,23.251619
242,726811355_493,113.342515,22.966442
243,914401153_JT0084,113.395569,23.122481
244,313744932_12170,113.258972,23.203945
245,395815801_4401050019,113.358167,23.098814
246,914401153_JT0092,113.258944,23.208705
247,914401153_JT0095,113.537809,23.112812
248,914401153_JT0110,113.195938,23.396043
249,MA5BE03R2_LYFH-0001,113.223961,23.079903
250,914401153_JT0118,113.36366,22.921933
251,MA59CU773_12455,113.38737,23.126654
252,101437000_1416,113.367296,23.090936
253,914401153_JT0166,113.285164,23.0159
254,673457030_56,113.38737,23.126654
255,MA5CJRA40_114,113.365447,22.91812
256,359705330_106,113.298425,23.328613
257,MA5DT8Q54_4401060021,113.399451,23.124586
258,101437000_7213,113.391349,22.923668
259,101437000_9119,113.391397,22.923564
260,MA59TULR9_4401130005,113.342585,22.966506
261,101437000_9703,113.287993,23.270697
262,101437000_11847,113.217637,23.390003
263,MA59CU773_140279,113.340595,22.971163
264,101437000_19483,113.261337,23.210807
265,101437000_26443,113.36238,22.926817
266,MA2KDUER1_162188742673391617,113.23363,23.373429
267,313744932_796,113.266041,23.217309
268,MA1FP0228_11157,113.23873,23.397303
269,313744932_1310,113.228423,23.166647
270,313744932_356,113.279387,23.228969
271,313744932_2041,113.288212,23.34563
272,313744932_1660,113.364582,22.969692
273,MA5DT8Q54_4401030006,113.21906,23.076983
274,MA5DT8Q54_4401130778,113.349055,23.017065
275,101437000_9759,113.398669,22.9444
