序号,经度,纬度,到最近现有站km,热点同址<1km
180,113.685,23.175,1.176,False
181,113.685,22.635,2.165,False
182,113.665,23.335,4.191,False
183,113.545,22.885,3.521,False
184,113.56500000000001,23.295,1.746,False
185,113.025,23.445,4.959,False
186,113.745,23.225,2.695,False
187,113.70500000000001,23.375,3.079,False
188,112.995,23.445,7.778,False
189,113.915,23.485,2.996,False
190,113.53500000000001,22.885,3.451,False
191,113.685,23.195,1.485,False
192,113.415,23.265,0.582,True
193,113.635,23.145,1.066,False
194,113.525,23.185,0.669,True
195,113.53500000000001,23.285,1.377,False
196,113.045,23.445,3.327,False
197,113.605,23.325,1.389,False
198,113.64500000000001,23.185,1.646,False
199,113.665,23.185,0.907,True
200,113.735,23.295,1.646,False
201,113.58500000000001,23.305,1.611,False
202,113.765,23.265,1.886,False
203,113.64500000000001,23.165,0.782,True
204,113.45500000000001,23.675,4.632,False
205,113.655,23.285,0.966,True
206,113.70500000000001,23.315,4.486,False
207,113.61500000000001,23.295,1.145,False
208,113.125,23.475,1.885,False
209,113.72500000000001,23.195,0.824,True
210,113.53500000000001,23.185,1.691,False
211,113.75500000000001,23.205,3.191,False
212,113.515,23.275,1.418,False
213,113.47500000000001,23.225,0.567,True
214,113.465,23.265,0.656,True
215,113.685,23.365,4.151,False
216,113.075,23.445,2.528,False
217,113.525,23.175,1.278,False
218,113.405,23.345,3.391,False
219,113.45500000000001,23.255,0.496,True
220,113.64500000000001,23.145,1.552,False
221,113.83500000000001,23.415,4.087,False
222,113.605,23.145,0.735,True
223,113.47500000000001,23.205,0.863,True
224,113.44500000000001,23.255,0.482,True
225,113.105,23.305,1.568,False
226,113.405,23.235,1.057,False
227,113.61500000000001,23.165,0.544,True
228,113.70500000000001,23.185,1.005,False
229,113.45500000000001,23.665,4.857,False
230,113.985,23.855,4.775,False
231,113.275,23.315,1.539,False
232,113.965,23.855,4.666,False
233,113.765,23.205,3.032,False
234,113.555,23.185,0.399,True
235,113.22500000000001,23.325,1.324,False
236,113.72500000000001,23.305,3.117,False
237,113.415,23.255,0.539,True
238,113.545,23.205,0.7,True
239,113.56500000000001,23.175,1.088,False
240,113.555,23.205,0.356,True
241,113.64500000000001,23.175,0.651,True
242,113.515,23.185,0.354,True
243,113.775,23.245,0.678,True
244,113.72500000000001,23.205,0.316,True
245,113.45500000000001,23.205,0.8,True
246,114.015,23.855,4.696,False
247,113.625,23.285,0.926,True
248,113.415,23.225,0.648,True
249,113.58500000000001,23.145,0.707,True
250,113.745,23.285,0.514,True
251,113.625,23.315,0.74,True
252,113.485,23.205,0.257,True
253,113.67500000000001,23.195,0.575,True
254,113.75500000000001,23.275,0.445,True
255,113.605,23.315,0.749,True
256,113.635,23.285,0.811,True
257,113.635,23.165,0.325,True
258,113.605,23.165,0.321,True
259,113.58500000000001,23.285,0.593,True
260,113.625,23.155,0.228,True
261,113.61500000000001,23.145,0.176,True
262,113.69500000000001,23.165,0.418,True
263,113.575,23.285,0.279,True
264,113.655,23.175,0.202,True
265,113.605,23.285,0.261,True
266,113.64500000000001,23.285,0.489,True
267,113.47500000000001,23.195,0.454,True
268,113.595,23.315,0.19,True
269,113.465,23.205,0.224,True
270,113.625,23.165,0.281,True
271,113.56500000000001,23.215,0.297,True
272,113.56500000000001,23.185,0.115,True
273,113.485,23.215,0.188,True
274,113.625,23.145,0.155,True
275,113.61500000000001,23.285,0.1,True
