序号,经度,纬度,到最近现有站km,热点同址<1km
181,113.78500000000001,23.255,1.663,False
182,113.525,23.405,3.242,False
183,113.58500000000001,23.305,1.611,False
184,113.69500000000001,23.165,0.418,True
185,113.075,23.445,2.528,False
186,113.44500000000001,23.695,4.029,False
187,113.155,23.305,3.68,False
188,113.635,23.165,0.325,True
189,113.75500000000001,23.245,2.501,False
190,113.72500000000001,23.375,2.431,False
191,113.485,23.195,0.945,True
192,113.775,23.195,1.692,False
193,113.635,23.285,0.811,True
194,113.64500000000001,23.145,1.552,False
195,113.685,22.635,2.165,False
196,113.50500000000001,23.185,1.116,False
197,113.655,23.335,3.382,False
198,113.605,23.165,0.321,True
199,113.735,23.215,1.689,False
200,113.635,23.145,1.066,False
201,113.515,23.275,1.418,False
202,113.515,23.415,1.738,False
203,113.745,23.285,0.514,True
204,113.61500000000001,23.295,1.145,False
205,113.64500000000001,23.345,1.882,False
206,113.45500000000001,23.705,5.465,False
207,113.70500000000001,23.185,1.005,False
208,113.75500000000001,23.205,3.191,False
209,113.775,23.205,2.177,False
210,113.495,23.195,1.518,False
211,113.595,23.145,0.805,True
212,113.655,23.285,0.966,True
213,113.58500000000001,23.285,0.593,True
214,113.525,22.885,3.676,False
215,113.625,23.285,0.926,True
216,113.64500000000001,23.285,0.489,True
217,113.685,23.195,1.485,False
218,113.67500000000001,23.195,0.575,True
219,113.61500000000001,23.165,0.544,True
220,113.72500000000001,23.195,0.824,True
221,113.45500000000001,23.225,1.555,False
222,113.715,23.315,4.335,False
223,113.39500000000001,23.345,2.801,False
224,113.69500000000001,23.195,1.712,False
225,113.265,23.315,1.714,False
226,113.25500000000001,23.315,2.364,False
227,113.465,23.535,5.09,False
228,113.405,23.345,3.391,False
229,113.415,23.265,0.582,True
230,113.265,23.295,2.797,False
231,113.415,23.245,1.648,False
232,113.025,23.445,4.959,False
233,113.665,23.185,0.907,True
234,113.655,23.365,2.7,False
235,113.735,23.385,3.726,False
236,113.03500000000001,23.445,4.098,False
237,113.44500000000001,23.245,1.441,False
238,113.50500000000001,23.275,2.024,False
239,113.525,23.275,1.418,False
