类型,station_id,经度,纬度
关闭,MA5ALU2Y2_767,113.400204,23.137491
关闭,101437000_6656,113.268312,23.210182
关闭,101437000_6744,113.400425,23.139198
关闭,MA59P1AN5_17960,113.268312,23.210182
关闭,MA5DT8Q54_4401830005,113.81261,23.284815
关闭,101437000_862,113.235062,23.410922
关闭,101437000_1776,113.346411,22.989273
关闭,MA5AK2NB6_32,113.384519,23.120094
关闭,MA59P1AN5_6538,113.346411,22.989273
关闭,MA59P1AN5_6620,113.235062,23.410922
关闭,MA1MY0GF9_26232,113.180248,23.38816
关闭,101437000_7885,113.461435,23.099185
关闭,MA5DT8Q54_4401110019,113.299096,23.326851
关闭,101437000_1108,113.384447,22.941678
关闭,101437000_1076,113.297446,23.319836
关闭,101437000_3516,113.198154,23.072894
关闭,MA59P1AN5_6510,113.297446,23.319836
关闭,MA59P1AN5_6514,113.384447,22.941678
关闭,101437000_17429,113.291842,23.256666
关闭,101437000_18595,113.341366,23.172955
关闭,101437000_26841,113.30398,22.996966
关闭,MA5APE392_LBHD02,113.271217,22.978579
关闭,MA59P1AN5_6621,113.25812,23.237741
关闭,MA59P1AN5_6613,113.395762,23.097156
关闭,MA59P1AN5_6558,113.241954,23.246152
关闭,101437000_26529,113.37971,23.102617
关闭,101437000_29919,113.341104,23.102042
关闭,101437000_36609,113.433152,22.951412
关闭,914401153_JT0144,113.280457,23.333367
关闭,101437000_30295,113.286777,23.227701
关闭,101437000_2614,113.347048,22.963814
关闭,101437000_4964,113.238744,23.141602
关闭,MA5D0YNG8_215,113.394386,23.118838
关闭,MA59P1AN5_6543,113.187043,23.415957
关闭,MA59P1AN5_6601,113.238744,23.141602
关闭,MA5CYFRA7_5790,113.333735,23.171925
关闭,101437000_5870,113.333562,23.171847
关闭,MA5DT8Q54_4401110224,113.213325,23.228486
关闭,101437000_11675,113.382558,23.3681
关闭,101437000_13031,113.301834,23.042049
关闭,101437000_13887,113.383696,23.134276
关闭,101437000_24863,113.262276,23.081538
关闭,101437000_24865,113.366824,22.927278
关闭,101437000_28111,113.410443,23.122965
关闭,101437000_31427,113.802422,23.300193
关闭,914401153_JT0135,113.24853,23.253856
关闭,101437000_31943,113.373463,23.138755
关闭,101437000_29423,113.356157,22.95883
关闭,101437000_4416,113.804842,23.272237
关闭,321895837_1525,113.360918,22.999265
关闭,101437000_6939,113.39359,22.994804
关闭,101437000_17089,113.295726,23.319969
关闭,101437000_36615,113.360944,22.999225
关闭,101437000_810,113.246649,23.252884
关闭,565843400_CAGDAE010502,113.28506,23.342893
关闭,726811355_6267,113.363663,22.969007
关闭,PENGHUI02_39,113.363665,22.969007
关闭,101437000_24093,113.567841,22.800177
关闭,101437000_32119,113.284078,23.035389
关闭,MA5AR10EX_1711,113.295827,23.320099
关闭,MA5CJMUD8_LHLS0001,113.357085,23.212262
关闭,MA4UP1U28_LHLS0001,113.357085,23.212262
关闭,101437000_1236,113.501927,23.086341
关闭,101437000_2756,113.363067,23.304578
关闭,101437000_4128,113.448949,23.118167
关闭,MA59P1AN5_6293,113.243358,23.082004
关闭,MA59P1AN5_6596,113.543839,23.113929
关闭,MA59P1AN5_6582,113.448929,23.117757
