删除序号,station_id,经度,纬度
1,MA5DT8Q54_4401840051,113.702821,23.690747
2,313744932_3413,113.239207,23.19439
3,914401153_JT0045,113.217082,23.363041
4,914401153_59770002,113.333823,23.000329
5,MA5DT8Q54_4401830041,113.670476,23.191929
6,313744932_3408,113.548495,23.128645
7,MA5DT8Q54_4401150004,113.581861,22.77151
8,MA5DT8Q54_4401130023,113.452144,22.990803
9,MA5DT8Q54_4401130024,113.453283,22.99118
10,MA5DT8Q54_4401830049,113.671192,23.190844
11,914401153_JT0145,113.235555,23.141246
12,914401153_JT0100,113.321326,23.120687
13,MA0019FW4_GZYY-BYSF-020-0010,113.281281,23.197834
14,101437000_5428,113.199503,23.116763
15,673457030_3,113.227204,23.141729
16,67345703X_3,113.227204,23.141729
17,914401153_JT0096,113.255643,23.128971
18,673457030_37,113.228005,23.074443
19,MA0019FW4_GZYY-GZXM-020-0029,113.258137,23.221877
20,349861452_GZYY-GZXM-020-0029,113.258137,23.221877
21,MA5CKUWK5_004798688d964da1b99032a5a0f454c2,113.208813,23.075484
22,914401153_11530003,113.366954,23.102909
23,395815801_4401130033,113.404503,23.053473
24,395815801_4401110059,113.268434,23.206579
25,313744932_1376,113.349668,23.254231
26,395815801_4401130008,113.360046,22.978108
27,313744932_335,113.177275,23.06893
28,67345703X_4,113.360659,23.325367
29,673457030_4,113.360659,23.325367
30,395815801_4401030001,113.227372,23.069645
31,313744932_789,113.298778,23.220959
32,313744932_2355,113.227898,23.071733
33,395815801_4401060022,113.36324,23.127203
34,MA5DT8Q54_4401110594,113.388036,23.309919
35,673457030_10,113.56686,23.09535
36,67345703X_10,113.56686,23.09535
37,313744932_506,113.235314,23.212132
38,395815801_4401140003,113.22491,23.38733
39,67345703X_23,113.262735,23.126654
40,MA1MY0GF9_65491,113.281899,22.913293
41,101437000_8431,113.360286,22.92003
42,313744932_97,113.245349,23.174136
43,MA1MY0GF9_37085,113.223365,23.194264
44,231227827_886,113.215891,23.409236
45,313744932_61,113.319993,23.168469
46,313744932_3222,113.339118,23.18449
47,313744932_2929,113.30191,23.225783
48,313744932_447,113.328914,22.994719
49,313744932_2571,113.250322,23.163123
50,MA1MY0GF9_50066,113.286943,22.90938
51,726811355_304,113.309535,23.019505
52,395815801_4401110003,113.244431,23.197476
53,MA5CKUWK5_843bd54165f041e98fdf196611ab05b9,113.40983,23.193019
54,395815801_4401120012,113.514368,23.06076
55,MA1FP0228_11123,113.342076,23.152198
56,313744932_1087,113.249911,23.251988
57,MA59CU773_132519,113.456623,23.112874
58,395815801_4401060010,113.329365,23.143562
59,MA5CKUWK5_dca08498818e4ff4afa132af544d55b2,113.195605,23.429892
60,MA0019FW4_GZYY-DYSW-020-0005,113.396951,23.116897
61,349861452_GZYY-DYSW-020-0005,113.396951,23.116897
62,313744932_899,113.248675,23.165911
63,MA5DT8Q54_440113157,113.306746,22.968814
64,MA0019FW4_GZYY-DXCZ-020-0006,113.401083,23.056019
65,349861452_GZYY-DXCZ-020-0006,113.401083,23.056019
66,313744932_11633,113.24331,23.126825
67,MA526R2T4_101791669710001,113.626043,23.496067
68,914401153_JT0143,113.53777,23.113013
69,313744932_878,113.328943,22.994211
70,313744932_478,113.281077,23.247335
71,395815801_4401110027,113.282972,23.240748
72,67345703X_9,113.271947,23.16177
73,673457030_9,113.271947,23.16177
74,67345703X_13,113.569955,22.811539
75,673457030_13,113.569955,22.811539
76,MA1MY0GF9_53690,113.395736,22.993594
77,313744932_1704,113.270362,23.233363
78,320513112_20-283,113.195611,23.40334
79,313744932_1384,113.207918,23.238054
80,313744932_398,113.367656,23.044376
81,320513112_20-246,113.218875,23.38979
82,088669285_CSN19092300022,113.203621,23.401147
83,313744932_17,113.340693,23.177589
84,MA59CU773_147428,113.222843,23.503057
85,MA0019FW4_GZYY-SYNH-020-0003,113.325635,23.021892
86,MA0019FW4_GZYY-CHCY-020-0004,113.235854,23.166429
87,349861452_GZYY-CHCY-020-0004,113.235854,23.166429
88,MA4KUHJ97_NIO6025b1f81a6f9a46,113.333726,23.139329
89,088669285_CSN19092300023,113.223854,23.407468
90,320513112_20-281,113.4555,22.885804
91,395815801_4401180005,113.663766,23.130467
92,313744932_794,113.296819,23.229378
93,313744932_733,113.31266,23.274265
94,914401153_11530024,113.341852,23.102264
95,313744932_1749,113.322437,23.169231
96,MA5DT8Q54_4401130705,113.270765,22.963593
97,313744932_11745,113.276613,23.211954
98,313744932_2594,113.354195,23.186855
99,395815801_4401180013,113.590265,23.156629
100,101437000_3760,113.234988,23.207106
101,MA59P1AN5_6578,113.234988,23.207106
102,MA59CU773_119677,113.387168,23.126553
103,673457030_31,113.387168,23.126553
104,313744932_2422,113.401992,23.158157
105,313744932_2786,113.297184,23.229011
106,395815801_4401060029,113.397641,23.115796
107,313744932_339,113.234993,23.212477
108,313744932_3783,113.40417,23.049419
109,395815801_4401130007,113.34423,22.94232
110,MA1MY0GF9_53408,113.286781,22.916048
111,313744932_1490,113.576397,23.113475
112,395815801_4401060030,113.414692,23.1128
113,320513112_20-277,113.21825,23.362885
114,395815801_4401060042,113.369963,23.134554
115,395815801_4401060037,113.370289,23.134227
116,MA59J8YL8_5dc7b25c73ff4cfc,113.489487,22.857123
117,320513112_20-270,113.601244,23.188047
118,320513112_20-269,113.601363,23.188055
119,67345703X_16,113.622962,23.177255
120,673457030_16,113.622962,23.177255
121,395815801_4401030007,113.210425,23.054544
122,313744932_1452,113.251815,23.159438
123,MA1MY0GF9_67637,113.283817,22.915851
124,395815801_4401130009,113.356046,22.977898
125,MA0019FW4_GZYY-SSCC-020-0023,113.407171,23.051774
126,313744932_2711,113.266376,23.217349
127,313744932_905,113.349445,23.254256
128,MA1MY0GF9_71093,113.272824,22.98349
129,313744932_3555,113.283807,23.205985
130,313744932_2267,113.317356,23.144292
131,313744932_3172,113.235238,23.212134
132,914401153_JT0109,113.432862,23.152953
133,320513112_20-268,113.601247,23.184599
134,313744932_1582,113.355341,22.94173
135,313744932_1377,113.248459,23.182027
136,313744932_3144,113.317516,23.151581
137,313744932_3048,113.298778,23.220959
138,726811355_3641,113.421906,22.97808
139,313744932_1852,113.283066,23.259325
140,395815801_4401060002,113.400394,23.135954
141,914401153_JT0002,113.225021,23.100614
142,395815801_4401030004,113.228877,23.078679
143,313744932_2340,113.311054,23.251566
144,313744932_235,113.292822,23.217506
145,313744932_504,113.262256,23.138408
146,914401153_0115,113.251267,23.109367
147,914401153_JT0027,113.24101,23.13691
148,313744932_1691,113.253755,23.240658
149,313744932_1064,113.419469,23.121983
150,313744932_2862,113.446288,23.175044
151,313744932_2640,113.354096,23.186675
152,395815801_4401030003,113.223708,23.092143
153,395815801_4401140002,113.227532,23.474182
154,313744932_1179,113.247041,23.249114
155,313744932_1723,113.286838,23.219492
156,MA0019FW4_GZYY-DXBT-020-0019,113.367101,23.053251
157,313744932_3146,113.317516,23.151581
158,313744932_2447,113.377441,22.94289
159,313744932_320492,113.531627,23.134186
160,914401153_JT0026,113.517839,23.054052
161,395815801_4401110035,113.293584,23.301179
162,395815801_4401030010,113.232541,23.147803
163,320513112_20-133,113.540483,22.802761
164,313744932_2152,113.235322,23.212256
165,313744932_320818,113.529824,23.134032
166,101437000_13499,113.306718,23.289906
167,MA2KF49M9_MA5D3WP35_005,113.300643,23.294166
168,MA0019FW4_GZYY-BLTD-020-0014,113.530038,23.492588
169,313744932_1124,113.260091,23.200939
170,MA0019FW4_GZYY-BTCE-020-0024,113.369156,23.05599
171,313744932_100,113.267351,23.220001
172,313744932_3156,113.317516,23.151581
173,313744932_2323,113.262255,23.138403
174,MA5CJRA40_104,113.325093,23.026908
175,313744932_2881,113.229814,23.163417
176,395815801_4401040024,113.302379,23.15931
177,914401153_JT0065,113.240439,23.268733
178,313744932_2699,113.308014,23.0391
179,914401153_JT0108,113.521516,23.157632
180,313744932_1341,113.329062,22.994654
181,320513112_20-221,113.334614,23.178296
182,395815801_4401180010,113.55581,23.12145
183,313744932_2245,113.286722,23.219523
184,395815801_4401110018,113.219515,23.203466
185,MA0019FW4_GZYY-HHZC-020-0001,113.335916,23.175402
186,320513112_20-220,113.335818,23.176573
187,313744932_428,113.29065,23.257128
188,313744932_2140,113.316621,23.154068
189,395815801_4401180002,113.791968,23.279825
190,320513112_20-282,113.198008,23.383388
191,313744932_3149,113.317516,23.151581
192,914401153_11530027,113.321209,23.160705
193,313744932_2101,113.310443,23.12551
194,395815801_4401110068,113.294523,23.162205
195,313744932_3743,113.260102,23.197707
196,313744932_1986,113.419722,23.121944
197,313744932_306,113.319547,23.126224
198,313744932_732,113.319547,23.126224
199,313744932_781,113.319547,23.126224
200,313744932_204,113.319547,23.126221
201,313744932_1524,113.319547,23.126221
202,313744932_1529,113.319539,23.126224
203,914401153_JT0022,113.325812,23.171756
204,313744932_3293,113.254555,23.157628
205,313744932_2162,113.267227,23.22001
206,101437000_14125,113.20985,23.221819
207,MA5DT8Q54_4961,113.46464,22.878228
208,395815801_4401040028,113.247756,23.147896
209,320513112_20-226,113.139157,23.373894
210,395815801_4401110019,113.193278,23.232364
211,313744932_2397,113.183184,23.441571
212,313744932_3157,113.317516,23.151581
213,313744932_3143,113.317516,23.151581
214,MA59CU773_132231,113.37636,23.060718
215,395815801_4401130021,113.336448,22.97164
216,MA0019FW4_GZYY-MTHG-020-0017,113.238103,23.200451
