情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,20,20,68812.488,0.65869,34.131,51012.072,3339.702,14460.714
S3 等量调配,5%,98,98,66901.107,0.64039,35.961,49288.409,3151.983,14460.714
S3 等量调配,10%,195,195,66028.22,0.63204,36.796,48635.796,2931.709,14460.714
S3 等量调配,20%,390,390,65218.05,0.62428,37.572,48064.748,2514.016,14639.286
S3 等量调配,30%,584,584,64789.513,0.62018,37.982,47857.021,2171.777,14760.714
S3 等量调配,40%,779,779,64474.62,0.61716,38.284,47768.031,1945.875,14760.714
S3 等量调配,50%,973,973,64530.57,0.6177,38.23,47732.299,1891.128,14907.143
