情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S1 只增,1%,20,20,68812.339,0.65869,34.131,51011.969,3339.656,14460.714
S1 只增,5%,98,98,66900.959,0.64039,35.961,49290.76,3149.485,14460.714
S1 只增,10%,195,195,66027.552,0.63203,36.797,48642.292,2924.546,14460.714
S1 只增,20%,390,390,65039.367,0.62257,37.743,48084.08,2494.573,14460.714
S1 只增,30%,584,584,64478.185,0.6172,38.28,47894.835,2122.636,14460.714
S1 只增,40%,779,779,64144.077,0.614,38.6,47834.668,1848.695,14460.714
S1 只增,50%,973,973,64017.123,0.61278,38.722,47844.888,1711.52,14460.714
