情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S2 只减,0,104469.225,1.0,0.0,51870.691,1.0,3277.106,1.0,49321.429,1.0,
S2 只减,1,104469.225,1.0,-0.0,51870.691,1.0,3277.106,1.0,49321.429,1.0,
S2 只减,2,104469.225,1.0,0.0,51870.691,1.0,3277.106,1.0,49321.429,1.0,
S2 只减,3,104469.225,1.0,-0.0,51870.691,1.0,3277.106,1.0,49321.429,1.0,
S2 只减,4,104469.225,1.0,-0.0,51870.691,1.0,3277.106,1.0,49321.429,1.0,
S2 只减,5,104469.244,1.0,-0.0,51870.705,1.0,3277.11,1.0,49321.429,1.0,
S2 只减,6,104469.263,1.0,-0.0,51870.721,1.0,3277.114,1.0,49321.429,1.0,
S2 只减,7,104469.316,1.0,-0.0,51870.767,1.0,3277.12,1.0,49321.429,1.0,
S2 只减,8,104469.344,1.0,-0.0,51870.795,1.0,3277.121,1.0,49321.429,1.0,
S2 只减,9,104469.373,1.0,-0.0,51870.823,1.0,3277.121,1.0,49321.429,1.0,
S2 只减,10,104469.455,1.0,-0.0,51870.891,1.0,3277.135,1.00001,49321.429,1.0,
S2 只减,11,104469.457,1.0,-0.0,51870.892,1.0,3277.136,1.00001,49321.429,1.0,
S2 只减,12,104469.461,1.0,-0.0,51870.894,1.0,3277.138,1.00001,49321.429,1.0,
S2 只减,13,104469.444,1.0,-0.0,51870.875,1.0,3277.14,1.00001,49321.429,1.0,
S2 只减,14,104469.42,1.0,-0.0,51870.851,1.0,3277.141,1.00001,49321.429,1.0,
S2 只减,15,104469.417,1.0,-0.0,51870.846,1.0,3277.142,1.00001,49321.429,1.0,
S2 只减,16,104469.413,1.0,-0.0,51870.842,1.0,3277.143,1.00001,49321.429,1.0,
S2 只减,17,104469.423,1.0,-0.0,51870.85,1.0,3277.144,1.00001,49321.429,1.0,
S2 只减,18,104469.425,1.0,-0.0,51870.852,1.0,3277.145,1.00001,49321.429,1.0,
S2 只减,19,104469.399,1.0,-0.0,51870.822,1.0,3277.148,1.00001,49321.429,1.0,
S2 只减,20,104469.374,1.0,-0.0,51870.793,1.0,3277.152,1.00001,49321.429,1.0,
S2 只减,21,104469.378,1.0,-0.0,51870.797,1.0,3277.153,1.00001,49321.429,1.0,
S2 只减,22,104469.364,1.0,-0.0,51870.775,1.0,3277.16,1.00002,49321.429,1.0,
S2 只减,23,104469.343,1.0,-0.0,51870.749,1.0,3277.165,1.00002,49321.429,1.0,
S2 只减,24,104469.322,1.0,-0.0,51870.725,1.0,3277.169,1.00002,49321.429,1.0,
S2 只减,25,104469.299,1.0,-0.0,51870.69,1.0,3277.18,1.00002,49321.429,1.0,
S2 只减,26,104469.304,1.0,-0.0,51870.69,1.0,3277.186,1.00002,49321.429,1.0,
S2 只减,27,104469.298,1.0,-0.0,51870.683,1.0,3277.187,1.00002,49321.429,1.0,
S2 只减,28,104469.303,1.0,-0.0,51870.652,1.0,3277.223,1.00004,49321.429,1.0,
S2 只减,29,104469.309,1.0,-0.0,51870.622,1.0,3277.258,1.00005,49321.429,1.0,
S2 只减,30,104469.304,1.0,-0.0,51870.616,1.0,3277.259,1.00005,49321.429,1.0,
S2 只减,31,104469.251,1.0,-0.0,51870.555,1.0,3277.267,1.00005,49321.429,1.0,
S2 只减,32,104469.251,1.0,-0.0,51870.554,1.0,3277.268,1.00005,49321.429,1.0,
S2 只减,33,104469.24,1.0,-0.0,51870.524,1.0,3277.287,1.00006,49321.429,1.0,
S2 只减,34,104469.272,1.0,-0.0,51870.515,1.0,3277.328,1.00007,49321.429,1.0,
S2 只减,35,104469.318,1.0,-0.0,51870.48,1.0,3277.41,1.00009,49321.429,1.0,
S2 只减,36,104469.364,1.0,-0.0,51870.444,1.0,3277.491,1.00012,49321.429,1.0,
S2 只减,37,104469.345,1.0,-0.0,51870.418,0.99999,3277.498,1.00012,49321.429,1.0,
S2 只减,38,104469.362,1.0,-0.0,51870.379,0.99999,3277.555,1.00014,49321.429,1.0,
S2 只减,39,104469.382,1.0,-0.0,51870.395,0.99999,3277.558,1.00014,49321.429,1.0,
S2 只减,40,104469.359,1.0,-0.0,51870.364,0.99999,3277.566,1.00014,49321.429,1.0,
S2 只减,41,104469.355,1.0,-0.0,51870.344,0.99999,3277.583,1.00015,49321.429,1.0,
S2 只减,42,104469.35,1.0,-0.0,51870.334,0.99999,3277.587,1.00015,49321.429,1.0,
S2 只减,43,104469.333,1.0,-0.0,51870.312,0.99999,3277.593,1.00015,49321.429,1.0,
S2 只减,44,104469.358,1.0,-0.0,51870.274,0.99999,3277.655,1.00017,49321.429,1.0,
S2 只减,45,104469.347,1.0,-0.0,51870.253,0.99999,3277.666,1.00017,49321.429,1.0,
S2 只减,46,104469.308,1.0,-0.0,51870.195,0.99999,3277.685,1.00018,49321.429,1.0,
S2 只减,47,104469.24,1.0,-0.0,51870.116,0.99999,3277.696,1.00018,49321.429,1.0,
S2 只减,48,104469.253,1.0,-0.0,51870.124,0.99999,3277.701,1.00018,49321.429,1.0,
S2 只减,49,104469.264,1.0,-0.0,51870.131,0.99999,3277.705,1.00018,49321.429,1.0,
S2 只减,50,104469.244,1.0,-0.0,51870.101,0.99999,3277.714,1.00019,49321.429,1.0,
S2 只减,51,104469.264,1.0,-0.0,51870.117,0.99999,3277.718,1.00019,49321.429,1.0,
S2 只减,52,104469.24,1.0,-0.0,51870.087,0.99999,3277.724,1.00019,49321.429,1.0,
