序号,经度,纬度,到最近现有站km,热点同址<1km
1,112.9846789,23.4437298,18.308,False
2,113.2557119,22.9980755,5.657,False
3,113.6655732,22.6544926,17.922,False
4,113.3855769,22.8211069,6.635,False
5,113.4574621,23.6179257,17.932,False
6,113.5030366,23.1913933,8.16,False
7,113.5490633,23.0894836,1.599,False
8,113.3061828,22.8667785,8.719,False
9,113.8715322,23.4292957,15.718,False
10,114.0028402,23.8512572,34.896,False
11,113.4758607,23.2106127,7.376,False
12,113.6233047,23.343011,13.793,False
13,113.136015,23.3088281,5.109,False
14,113.089874,23.3108019,6.763,False
15,113.7105553,23.1934846,15.114,False
16,113.2036769,23.1179981,2.842,False
17,113.1300117,23.4725495,13.109,False
18,113.3091328,23.5070112,7.758,False
19,113.0101643,23.447691,16.453,False
20,113.4098965,23.6387132,22.731,False
21,113.2627775,23.2699515,3.469,False
22,113.4580385,23.4338568,7.711,False
23,113.6189985,23.1696223,11.18,False
24,113.5401728,22.6969744,7.751,False
25,113.268139,23.5870107,16.872,False
26,113.1720487,23.4794496,13.726,False
27,113.5653686,23.2997986,6.175,False
28,113.7329797,23.3840474,15.053,False
29,113.5518525,22.8865042,10.855,False
30,113.7690193,23.1922299,10.217,False
31,113.6707428,22.6397474,19.461,False
32,113.4696352,23.4249128,8.05,False
33,113.5208981,23.1554862,6.372,False
34,113.4917951,22.7987829,3.605,False
35,113.4269701,23.4538859,7.87,False
36,113.4643451,23.0378077,6.053,False
37,113.409889,23.6780841,22.885,False
38,113.8960101,23.4522826,18.83,False
39,113.6452979,23.360485,16.762,False
40,113.6053498,23.1453711,8.377,False
41,113.5309447,23.4015914,13.201,False
42,113.526107,22.7856917,0.679,True
43,113.4751622,22.8846999,5.517,False
44,113.8352405,23.8108616,18.484,False
