情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,1,1,122254.727,0.92639,7.361,63001.962,15338.479,43914.286
S3 等量调配,5%,5,5,108162.426,0.8196,18.04,59552.881,14991.687,33617.857
S3 等量调配,10%,9,9,99088.547,0.75085,24.915,58058.83,14369.002,26660.714
S3 等量调配,20%,18,18,84005.711,0.63656,36.344,53326.404,13104.307,17575.0
S3 等量调配,30%,27,27,77913.604,0.59039,40.961,50492.977,11517.056,15903.571
S3 等量调配,40%,36,36,74699.411,0.56604,43.396,49103.089,9692.75,15903.571
S3 等量调配,50%,44,44,73060.738,0.55362,44.638,48333.316,8823.851,15903.571
