情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S2 只减,0,131969.02,1.0,0.0,63436.234,1.0,15525.643,1.0,53007.143,1.0,
S2 只减,1,131974.222,1.00004,-0.004,63432.681,0.99994,15534.398,1.00056,53007.143,1.0,
S2 只减,2,131980.087,1.00008,-0.008,63429.41,0.99989,15543.534,1.00115,53007.143,1.0,
S2 只减,3,131982.992,1.00011,-0.011,63424.787,0.99982,15551.063,1.00164,53007.143,1.0,
S2 只减,4,131981.338,1.00009,-0.009,63414.47,0.99966,15559.725,1.0022,53007.143,1.0,
S2 只减,5,131972.283,1.00002,-0.002,63399.46,0.99942,15565.68,1.00258,53007.143,1.0,
S2 只减,6,131963.842,0.99996,0.004,63378.925,0.9991,15577.775,1.00336,53007.143,1.0,
S2 只减,7,132022.22,1.0004,-0.04,63377.306,0.99907,15637.771,1.00722,53007.143,1.0,
S2 只减,8,132050.623,1.00062,-0.062,63357.852,0.99876,15685.629,1.0103,53007.143,1.0,
S2 只减,9,132054.043,1.00064,-0.064,63341.335,0.9985,15705.565,1.01159,53007.143,1.0,10%
S2 只减,10,132057.215,1.00067,-0.067,63319.33,0.99816,15730.742,1.01321,53007.143,1.0,
S2 只减,11,132080.958,1.00085,-0.085,63315.718,0.9981,15758.097,1.01497,53007.143,1.0,
S2 只减,12,132086.727,1.00089,-0.089,63301.678,0.99788,15777.906,1.01625,53007.143,1.0,
S2 只减,13,132076.991,1.00082,-0.082,63278.037,0.99751,15791.811,1.01714,53007.143,1.0,
S2 只减,14,132084.706,1.00088,-0.088,63262.163,0.99726,15815.399,1.01866,53007.143,1.0,
S2 只减,15,132089.47,1.00091,-0.091,63249.636,0.99706,15832.691,1.01978,53007.143,1.0,
S2 只减,16,132106.304,1.00104,-0.104,63240.329,0.99691,15858.832,1.02146,53007.143,1.0,
S2 只减,17,132147.631,1.00135,-0.135,63239.343,0.9969,15901.145,1.02419,53007.143,1.0,
S2 只减,18,132207.014,1.0018,-0.18,63224.313,0.99666,15975.558,1.02898,53007.143,1.0,20%
S2 只减,19,132195.583,1.00172,-0.172,63196.376,0.99622,15992.064,1.03004,53007.143,1.0,
S2 只减,20,132188.706,1.00166,-0.166,63171.522,0.99583,16010.042,1.0312,53007.143,1.0,
S2 只减,21,132219.836,1.0019,-0.19,63162.348,0.99568,16050.345,1.0338,53007.143,1.0,
S2 只减,22,132249.263,1.00212,-0.212,63140.094,0.99533,16102.026,1.03712,53007.143,1.0,
S2 只减,23,132258.137,1.00219,-0.219,63111.096,0.99487,16139.898,1.03956,53007.143,1.0,
S2 只减,24,132341.711,1.00282,-0.282,63086.528,0.99449,16248.04,1.04653,53007.143,1.0,
S2 只减,25,132426.724,1.00347,-0.347,63068.064,0.9942,16351.517,1.05319,53007.143,1.0,
S2 只减,26,132445.598,1.00361,-0.361,63031.967,0.99363,16406.488,1.05673,53007.143,1.0,
S2 只减,27,132515.399,1.00414,-0.414,63028.175,0.99357,16480.081,1.06147,53007.143,1.0,30%
S2 只减,28,132561.455,1.00449,-0.449,63019.204,0.99343,16535.108,1.06502,53007.143,1.0,
S2 只减,29,132612.189,1.00487,-0.487,63010.24,0.99328,16594.806,1.06886,53007.143,1.0,
S2 只减,30,132634.816,1.00505,-0.505,62997.579,0.99309,16630.094,1.07114,53007.143,1.0,
S2 只减,31,132620.751,1.00494,-0.494,62951.542,0.99236,16662.066,1.0732,53007.143,1.0,
S2 只减,32,132647.443,1.00514,-0.514,62940.714,0.99219,16699.587,1.07561,53007.143,1.0,
S2 只减,33,132836.345,1.00657,-0.657,62938.991,0.99216,16890.211,1.08789,53007.143,1.0,
S2 只减,34,132833.042,1.00655,-0.655,62897.229,0.9915,16928.67,1.09037,53007.143,1.0,
S2 只减,35,132910.813,1.00714,-0.714,62887.429,0.99135,17016.242,1.09601,53007.143,1.0,
S2 只减,36,132902.454,1.00707,-0.707,62832.012,0.99048,17063.299,1.09904,53007.143,1.0,40%
