指标,值,单位
M_2SFCA,131969.0,需求·km
M_access(出行),63436.2,需求·km
M_crowd(拥挤),15525.6,需求·km
M_reach(够不着),53007.1,需求·km
M_old(零拥挤参照),97181.0,需求·km
可达覆盖率(原生),0.9885,占比
不可达需求占比(原生),0.0115,占比
不可达需求点数,185.0,个
不可达需求量,53.01,次/天
拥挤度C中位,0.636,-
拥挤度C90分位,2.313,-
超容量站(C>1),31.0,/88
站点数,88.0,个
