情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S2 只减,10%,241,241,103562.053,1.00002,-0.002,51435.504,2805.12,49321.429
S2 只减,20%,482,482,103743.566,1.00177,-0.177,51421.416,2822.149,49500.0
S2 只减,30%,723,723,103889.614,1.00318,-0.318,51400.376,2867.81,49621.429
S2 只减,40%,964,964,103949.785,1.00377,-0.377,51372.558,2955.799,49621.429
S2 只减,50%,1204,1204,104261.909,1.00678,-0.678,51357.113,3136.939,49767.857
S2 只减,60%,1445,1445,104942.859,1.01336,-1.336,51409.439,3465.563,50067.857
S2 只减,70%,1686,1686,105775.611,1.0214,-2.14,51429.557,4128.197,50217.857
S2 只减,80%,1927,1927,107230.33,1.03544,-3.544,51523.267,5489.206,50217.857
S2 只减,90%,2168,2168,112785.077,1.08908,-8.908,51847.414,7930.521,53007.143
