情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S3 等量调配,0,103559.785,1.0,0.0,51441.419,1.0,2796.938,1.0,49321.429,1.0,
S3 等量调配,1,94457.919,0.91211,8.789,51410.244,0.99939,2819.103,1.00792,40228.571,0.81564,
S3 等量调配,2,89035.491,0.85975,14.025,51410.19,0.99939,2832.443,1.01269,34792.857,0.70543,
S3 等量调配,3,86499.66,0.83526,16.474,51407.613,0.99934,2838.476,1.01485,32253.571,0.65395,
S3 等量调配,4,84168.324,0.81275,18.725,51407.315,0.99934,2843.152,1.01652,29917.857,0.60659,
S3 等量调配,5,82104.309,0.79282,20.718,51407.438,0.99934,2846.871,1.01785,27850.0,0.56466,
S3 等量调配,6,80268.369,0.77509,22.491,51415.226,0.99949,2849.571,1.01882,26003.571,0.52723,
S3 等量调配,7,78441.03,0.75745,24.255,51420.465,0.99959,2852.707,1.01994,24167.857,0.49001,
S3 等量调配,8,76712.694,0.74076,25.924,51417.015,0.99953,2856.394,1.02126,22439.286,0.45496,
S3 等量调配,9,75192.537,0.72608,27.392,51416.75,0.99952,2857.929,1.02181,20917.857,0.42411,
S3 等量调配,10,73920.66,0.7138,28.62,51411.369,0.99942,2859.29,1.02229,19650.0,0.39841,
S3 等量调配,11,72762.471,0.70261,29.739,51402.581,0.99925,2859.89,1.02251,18500.0,0.37509,
S3 等量调配,12,71769.071,0.69302,30.698,51209.517,0.99549,2859.555,1.02239,17700.0,0.35887,
S3 等量调配,13,70861.044,0.68425,31.575,51187.382,0.99506,2859.376,1.02232,16814.286,0.34091,
S3 等量调配,14,70026.456,0.67619,32.381,51185.18,0.99502,2859.133,1.02224,15982.143,0.32404,
S3 等量调配,15,69241.676,0.66862,33.138,51185.937,0.99503,2859.311,1.0223,15196.429,0.30811,
S3 等量调配,16,68501.823,0.66147,33.853,51182.293,0.99496,2858.815,1.02212,14460.714,0.29319,
S3 等量调配,17,68259.79,0.65913,34.087,50942.905,0.99031,2856.171,1.02118,14460.714,0.29319,
S3 等量调配,18,68094.386,0.65754,34.246,50780.018,0.98714,2853.654,1.02028,14460.714,0.29319,
S3 等量调配,19,67995.627,0.65658,34.342,50683.88,0.98527,2851.033,1.01934,14460.714,0.29319,
S3 等量调配,20,67900.578,0.65567,34.433,50591.362,0.98348,2848.502,1.01844,14460.714,0.29319,
S3 等量调配,21,67821.917,0.65491,34.509,50515.225,0.982,2845.978,1.01753,14460.714,0.29319,
S3 等量调配,22,67751.958,0.65423,34.577,50447.809,0.98068,2843.434,1.01662,14460.714,0.29319,
S3 等量调配,23,67692.741,0.65366,34.634,50391.001,0.97958,2841.026,1.01576,14460.714,0.29319,
S3 等量调配,24,67634.399,0.6531,34.69,50335.26,0.9785,2838.425,1.01483,14460.714,0.29319,
S3 等量调配,25,67580.263,0.65257,34.743,50283.675,0.97749,2835.874,1.01392,14460.714,0.29319,1%
S3 等量调配,26,67529.7,0.65208,34.792,50235.19,0.97655,2833.796,1.01318,14460.714,0.29319,
S3 等量调配,27,67481.904,0.65162,34.838,50189.904,0.97567,2831.286,1.01228,14460.714,0.29319,
S3 等量调配,28,67437.283,0.65119,34.881,50147.899,0.97485,2828.67,1.01135,14460.714,0.29319,
S3 等量调配,29,67393.009,0.65076,34.924,50106.223,0.97404,2826.071,1.01042,14460.714,0.29319,
S3 等量调配,30,67350.976,0.65036,34.964,50066.751,0.97328,2823.51,1.0095,14460.714,0.29319,
S3 等量调配,31,67310.932,0.64997,35.003,50029.15,0.97255,2821.068,1.00863,14460.714,0.29319,
S3 等量调配,32,67271.228,0.64959,35.041,49991.999,0.97182,2818.515,1.00771,14460.714,0.29319,
S3 等量调配,33,67232.393,0.64921,35.079,49955.79,0.97112,2815.889,1.00678,14460.714,0.29319,
S3 等量调配,34,67199.701,0.6489,35.11,49925.652,0.97053,2813.335,1.00586,14460.714,0.29319,
S3 等量调配,35,67167.099,0.64858,35.142,49895.603,0.96995,2810.781,1.00495,14460.714,0.29319,
S3 等量调配,36,67134.516,0.64827,35.173,49865.338,0.96936,2808.464,1.00412,14460.714,0.29319,
S3 等量调配,37,67102.274,0.64796,35.204,49835.701,0.96879,2805.859,1.00319,14460.714,0.29319,
S3 等量调配,38,67071.757,0.64766,35.234,49807.712,0.96824,2803.331,1.00229,14460.714,0.29319,
