情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,25,25,67580.263,0.65257,34.743,50283.675,2835.874,14460.714
S3 等量调配,5%,121,121,65846.65,0.63583,36.417,48777.428,2608.507,14460.714
S3 等量调配,10%,241,241,65003.123,0.62769,37.231,48190.313,2352.096,14460.714
S3 等量调配,20%,482,482,64243.221,0.62035,37.965,47724.628,1879.308,14639.286
S3 等量调配,30%,723,723,63895.798,0.61699,38.301,47590.037,1545.046,14760.714
S3 等量调配,40%,964,964,63736.705,0.61546,38.454,47574.444,1401.547,14760.714
S3 等量调配,50%,1204,1204,63946.401,0.61748,38.252,47606.699,1432.56,14907.143
