指标,值,单位
M_2SFCA,103559.8,需求·km
M_access(出行),51441.4,需求·km
M_crowd(拥挤),2796.9,需求·km
M_reach(够不着),49321.4,需求·km
M_old(零拥挤参照),61719.5,需求·km
可达覆盖率(原生),0.9893,占比
不可达需求占比(原生),0.0107,占比
不可达需求点数,168.0,个
不可达需求量,49.32,次/天
拥挤度C中位,0.828,-
拥挤度C90分位,2.182,-
超容量站(C>1),874.0,/2408
站点数,2408.0,个
