情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S1 只增,1%,25,25,67580.13,0.65257,34.743,50283.593,2835.823,14460.714
S1 只增,5%,121,121,65846.124,0.63583,36.417,48779.513,2605.897,14460.714
S1 只增,10%,241,241,65000.996,0.62767,37.233,48195.829,2344.453,14460.714
S1 只增,20%,482,482,64062.718,0.61861,38.139,47743.085,1858.918,14460.714
S1 只增,30%,723,723,63589.872,0.61404,38.596,47627.631,1501.526,14460.714
S1 只增,40%,964,964,63421.586,0.61242,38.758,47639.016,1321.856,14460.714
S1 只增,50%,1204,1204,63440.826,0.6126,38.74,47704.275,1275.837,14460.714
