类型,station_id,经度,纬度
关闭,313744932_2786,113.297184,23.229011
关闭,313744932_2422,113.401992,23.158157
关闭,MA59CU773_119677,113.387168,23.126553
关闭,673457030_31,113.387168,23.126553
关闭,313744932_339,113.234993,23.212477
关闭,101437000_19367,113.183565,23.070899
关闭,313744932_1490,113.576397,23.113475
关闭,395815801_4401060029,113.397641,23.115796
关闭,MA1MY0GF9_67637,113.283817,22.915851
关闭,395815801_4401130009,113.356046,22.977898
关闭,313744932_1582,113.355341,22.94173
关闭,726811355_3641,113.421906,22.97808
关闭,A5250LL0A_20-387,113.380368,22.783889
关闭,395815801_4401060030,113.414692,23.1128
关闭,MA0019FW4_GZYY-SSCC-020-0023,113.407171,23.051774
关闭,MA1MY0GF9_71093,113.272824,22.98349
关闭,395815801_4401030007,113.210425,23.054544
关闭,395815801_4401060042,113.369963,23.134554
关闭,395815801_4401060037,113.370289,23.134227
关闭,313744932_905,113.349445,23.254256
关闭,313744932_1452,113.251815,23.159438
关闭,313744932_2711,113.266376,23.217349
关闭,313744932_3172,113.235238,23.212134
关闭,914401153_JT0109,113.432862,23.152953
关闭,313744932_3555,113.283807,23.205985
关闭,313744932_2267,113.317356,23.144292
关闭,313744932_1377,113.248459,23.182027
关闭,313744932_1852,113.283066,23.259325
关闭,313744932_3048,113.298778,23.220959
关闭,A5250LL0A_20-434,113.451959,23.097215
关闭,313744932_3144,113.317516,23.151581
关闭,313744932_2340,113.311054,23.251566
关闭,395815801_4401030004,113.228877,23.078679
关闭,914401153_JT0002,113.225021,23.100614
关闭,A5250LL0A_20-407,113.437655,23.110178
关闭,395815801_4401140002,113.227532,23.474182
关闭,313744932_235,113.292822,23.217506
关闭,395815801_4401060002,113.400394,23.135954
关闭,320513112_20-133,113.540483,22.802761
关闭,313744932_1691,113.253755,23.240658
关闭,313744932_504,113.262256,23.138408
关闭,313744932_2447,113.377441,22.94289
关闭,914401153_0115,113.251267,23.109367
关闭,MA0019FW4_GZYY-BLTD-020-0014,113.530038,23.492588
关闭,914401153_JT0027,113.24101,23.13691
关闭,313744932_2862,113.446288,23.175044
关闭,A5250LL0A_20-446,113.420667,23.174263
关闭,313744932_2640,113.354096,23.186675
关闭,313744932_1064,113.419469,23.121983
关闭,313744932_1179,113.247041,23.249114
关闭,MA0019FW4_GZYY-DXBT-020-0019,113.367101,23.053251
关闭,395815801_4401030003,113.223708,23.092143
关闭,A5250LL0A_20-465,113.459095,23.100216
关闭,313744932_1723,113.286838,23.219492
关闭,313744932_320492,113.531627,23.134186
关闭,A5250LL0A_20-408,113.449225,23.108229
关闭,395815801_4401110035,113.293584,23.301179
关闭,313744932_3146,113.317516,23.151581
关闭,MA5DT8Q54_4401030145,113.24518,23.054903
关闭,101437000_13499,113.306718,23.289906
关闭,101437000_25909,113.229329,23.070669
关闭,313744932_320818,113.529824,23.134032
关闭,MA2KF49M9_MA5D3WP35_005,113.300643,23.294166
关闭,914401153_JT0026,113.517839,23.054052
关闭,313744932_2152,113.235322,23.212256
关闭,395815801_4401030010,113.232541,23.147803
关闭,MA5DT8Q54_4401060569,113.390585,23.197521
关闭,MA0019FW4_GZYY-BTCE-020-0024,113.369156,23.05599
关闭,313744932_1124,113.260091,23.200939
关闭,320513112_20-282,113.198008,23.383388
关闭,320513112_20-226,113.139157,23.373894
关闭,MA5CJRA40_104,113.325093,23.026908
关闭,313744932_100,113.267351,23.220001
关闭,914401153_JT0065,113.240439,23.268733
关闭,914401153_JT0108,113.521516,23.157632
关闭,313744932_1341,113.329062,22.994654
关闭,A5250LL0A_20-472,113.607728,23.12691
关闭,313744932_3156,113.317516,23.151581
关闭,313744932_2699,113.308014,23.0391
关闭,313744932_2323,113.262255,23.138403
关闭,313744932_2881,113.229814,23.163417
关闭,395815801_4401040024,113.302379,23.15931
关闭,395815801_4401180010,113.55581,23.12145
关闭,MA5DT8Q54_4401030147,113.23728,23.132478
关闭,313744932_2397,113.183184,23.441571
关闭,395815801_4401110018,113.219515,23.203466
关闭,313744932_428,113.29065,23.257128
关闭,313744932_2245,113.286722,23.219523
关闭,MA5DT8Q54_4961,113.46464,22.878228
关闭,320513112_20-221,113.334614,23.178296
关闭,395815801_4401180002,113.791968,23.279825
关闭,MA0019FW4_GZYY-HHZC-020-0001,113.335916,23.175402
关闭,320513112_20-220,113.335818,23.176573
关闭,313744932_2140,113.316621,23.154068
关闭,320513112_20-243,113.160532,23.466153
关闭,395815801_4401140006,113.228191,23.40773
关闭,313744932_2101,113.310443,23.12551
关闭,914401153_11530027,113.321209,23.160705
关闭,313744932_3149,113.317516,23.151581
关闭,A5250LL0A_20-429,113.181464,23.424026
关闭,313744932_3743,113.260102,23.197707
关闭,395815801_4401110068,113.294523,23.162205
关闭,MA4KUHJ97_NIOcc71f0b2b1267a63,113.217868,23.125482
关闭,313744932_3041,113.584127,23.524832
关闭,395815801_4401110006,113.234248,23.337904
关闭,395815801_4401130021,113.336448,22.97164
关闭,101437000_14125,113.20985,23.221819
关闭,395815801_4401110019,113.193278,23.232364
关闭,313744932_1986,113.419722,23.121944
关闭,101437000_16055,113.339892,22.837395
关闭,313744932_306,113.319547,23.126224
关闭,313744932_732,113.319547,23.126224
关闭,313744932_781,113.319547,23.126224
关闭,313744932_204,113.319547,23.126221
关闭,313744932_1524,113.319547,23.126221
关闭,313744932_1529,113.319539,23.126224
关闭,313744932_2162,113.267227,23.22001
关闭,313744932_3293,113.254555,23.157628
关闭,914401153_JT0022,113.325812,23.171756
关闭,313744932_2768,113.350352,22.960186
关闭,395815801_4401130019,113.366113,22.94096
关闭,231227827_885,113.215013,23.406456
关闭,MA59CU773_132231,113.37636,23.060718
关闭,MA5CJRA40_113,113.363087,22.99036
关闭,395815801_4401040028,113.247756,23.147896
关闭,A5250LL0A_20-439,113.59893,23.555308
关闭,MA0019FW4_GZYY-MTHG-020-0017,113.238103,23.200451
关闭,313744932_658,113.298771,23.283092
关闭,MA5APE392_LBHD06,113.223289,23.080403
关闭,395815801_4401060020,113.377722,23.217708
关闭,313744932_3157,113.317516,23.151581
关闭,313744932_3143,113.317516,23.151581
关闭,313744932_2496,113.310443,23.12551
关闭,MA5AUTPR9_8199,113.321771,23.206565
关闭,313744932_94,113.283332,23.259438
关闭,313744932_2048,113.253755,23.240658
关闭,320513112_20-014,113.357954,22.957644
关闭,320513112_20-263,113.231746,23.189832
关闭,313744932_251,113.282799,23.250028
关闭,324887859_6fe19e0dd6dd11e6a20100163e0027ca,113.339105,22.922885
关闭,320513112_20-245,113.179111,23.456183
关闭,101437000_21714,113.224875,23.199711
关闭,395815801_4401130010,113.42358,22.961556
关闭,313744932_1303,113.252409,23.247105
关闭,313744932_796,113.266041,23.217309
关闭,914401153_JT0131,113.22932,23.104653
关闭,313744932_356,113.279387,23.228969
关闭,313744932_8,113.420581,23.214792
关闭,395815801_4401060005,113.385622,23.140715
关闭,395815801_4401110051,113.254377,23.172976
关闭,MA59CU773_132520,113.457104,23.111936
关闭,313744932_1923,113.353968,23.186874
关闭,313744932_2046,113.353968,23.186731
