情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S3 等量调配,0,113279.805,1.0,0.0,56433.825,1.0,5363.837,1.0,51482.143,1.0,
S3 等量调配,1,104065.406,0.91866,8.134,56277.462,0.99723,5398.659,1.00649,42389.286,0.82338,
S3 等量调配,2,98650.137,0.87085,12.915,56277.338,0.99723,5419.228,1.01033,36953.571,0.71779,
S3 等量调配,3,96110.882,0.84844,15.156,56268.03,0.99706,5428.566,1.01207,34414.286,0.66847,
S3 等量调配,4,93781.892,0.82788,17.212,56268.149,0.99706,5435.172,1.0133,32078.571,0.6231,
S3 等量调配,5,91719.146,0.80967,19.033,56268.329,0.99707,5440.102,1.01422,30010.714,0.58293,
S3 等量调配,6,89713.842,0.79197,20.803,55413.46,0.98192,5439.668,1.01414,28860.714,0.5606,
S3 等量调配,7,87878.635,0.77577,22.423,55421.359,0.98206,5442.991,1.01476,27014.286,0.52473,
S3 等量调配,8,86052.639,0.75965,24.035,55426.913,0.98216,5447.155,1.01553,25178.571,0.48907,
S3 等量调配,9,84324.472,0.74439,25.561,55421.988,0.98207,5452.484,1.01653,23450.0,0.4555,
S3 等量调配,10,82804.068,0.73097,26.903,55421.654,0.98206,5453.843,1.01678,21928.571,0.42595,
S3 等量调配,11,81487.194,0.71934,28.066,54906.726,0.97294,5451.897,1.01642,21128.571,0.41041,1%
S3 等量调配,12,80177.779,0.70779,29.221,54859.908,0.97211,5457.157,1.0174,19860.714,0.38578,
S3 等量调配,13,79071.423,0.69802,30.198,54473.699,0.96527,5454.867,1.01697,19142.857,0.37183,
S3 等量调配,14,78114.661,0.68957,31.043,54403.782,0.96403,5453.737,1.01676,18257.143,0.35463,
S3 等量调配,15,77271.649,0.68213,31.787,54394.324,0.96386,5452.325,1.0165,17425.0,0.33847,
S3 等量调配,16,76486.558,0.6752,32.48,54395.261,0.96388,5452.011,1.01644,16639.286,0.3232,
S3 等量调配,17,75738.65,0.6686,33.14,54384.994,0.96369,5450.085,1.01608,15903.571,0.30891,
S3 等量调配,18,75108.618,0.66304,33.696,53759.571,0.95261,5445.476,1.01522,15903.571,0.30891,
S3 等量调配,19,74828.216,0.66056,33.944,53484.637,0.94774,5440.008,1.0142,15903.571,0.30891,
S3 等量调配,20,74563.528,0.65822,34.178,53225.305,0.94315,5434.651,1.0132,15903.571,0.30891,
S3 等量调配,21,74327.36,0.65614,34.386,52994.61,0.93906,5429.178,1.01218,15903.571,0.30891,
S3 等量调配,22,74117.021,0.65428,34.572,52788.835,0.93541,5424.615,1.01133,15903.571,0.30891,
S3 等量调配,23,73958.796,0.65289,34.711,52636.085,0.9327,5419.14,1.01031,15903.571,0.30891,
S3 等量调配,24,73808.096,0.65156,34.844,52490.835,0.93013,5413.689,1.00929,15903.571,0.30891,
S3 等量调配,25,73683.444,0.65046,34.954,52371.015,0.92801,5408.858,1.00839,15903.571,0.30891,
S3 等量调配,26,73568.444,0.64944,35.056,52260.94,0.92606,5403.933,1.00748,15903.571,0.30891,
S3 等量调配,27,73471.577,0.64858,35.142,52169.518,0.92444,5398.487,1.00646,15903.571,0.30891,
S3 等量调配,28,73374.898,0.64773,35.227,52076.362,0.92279,5394.965,1.0058,15903.571,0.30891,
S3 等量调配,29,73285.502,0.64694,35.306,51992.309,0.9213,5389.621,1.00481,15903.571,0.30891,
S3 等量调配,30,73199.541,0.64618,35.382,51911.773,0.91987,5384.197,1.0038,15903.571,0.30891,
S3 等量调配,31,73114.023,0.64543,35.457,51831.148,0.91844,5379.304,1.00288,15903.571,0.30891,
S3 等量调配,32,73034.116,0.64472,35.528,51751.784,0.91703,5378.761,1.00278,15903.571,0.30891,
S3 等量调配,33,72965.627,0.64412,35.588,51688.714,0.91592,5373.342,1.00177,15903.571,0.30891,
S3 等量调配,34,72897.784,0.64352,35.648,51626.132,0.91481,5368.081,1.00079,15903.571,0.30891,
S3 等量调配,35,72830.25,0.64292,35.708,51563.365,0.9137,5363.314,0.9999,15903.571,0.30891,
S3 等量调配,36,72763.57,0.64233,35.767,51502.088,0.91261,5357.911,0.9989,15903.571,0.30891,
S3 等量调配,37,72697.486,0.64175,35.825,51440.752,0.91152,5353.162,0.99801,15903.571,0.30891,
S3 等量调配,38,72632.29,0.64118,35.882,51379.112,0.91043,5349.607,0.99735,15903.571,0.30891,
S3 等量调配,39,72569.786,0.64062,35.938,51313.321,0.90927,5352.894,0.99796,15903.571,0.30891,
S3 等量调配,40,72509.742,0.64009,35.991,51258.71,0.9083,5347.46,0.99695,15903.571,0.30891,
S3 等量调配,41,72451.538,0.63958,36.042,51204.38,0.90733,5343.586,0.99622,15903.571,0.30891,
S3 等量调配,42,72399.181,0.63912,36.088,51157.123,0.9065,5338.486,0.99527,15903.571,0.30891,
S3 等量调配,43,72346.772,0.63866,36.134,51109.785,0.90566,5333.416,0.99433,15903.571,0.30891,
S3 等量调配,44,72294.97,0.6382,36.18,51062.846,0.90483,5328.552,0.99342,15903.571,0.30891,
S3 等量调配,45,72244.164,0.63775,36.225,51017.515,0.90402,5323.078,0.9924,15903.571,0.30891,
S3 等量调配,46,72194.994,0.63732,36.268,50973.793,0.90325,5317.63,0.99139,15903.571,0.30891,
S3 等量调配,47,72148.09,0.6369,36.31,50931.998,0.90251,5312.521,0.99043,15903.571,0.30891,
S3 等量调配,48,72103.631,0.63651,36.349,50890.789,0.90178,5309.271,0.98983,15903.571,0.30891,
S3 等量调配,49,72059.011,0.63612,36.388,50851.441,0.90108,5303.998,0.98884,15903.571,0.30891,
S3 等量调配,50,72014.448,0.63572,36.428,50812.225,0.90039,5298.652,0.98785,15903.571,0.30891,
S3 等量调配,51,71970.878,0.63534,36.466,50772.583,0.89968,5294.723,0.98711,15903.571,0.30891,
S3 等量调配,52,71928.276,0.63496,36.504,50735.429,0.89903,5289.275,0.9861,15903.571,0.30891,
S3 等量调配,53,71886.884,0.6346,36.54,50696.048,0.89833,5287.265,0.98572,15903.571,0.30891,
S3 等量调配,54,71845.535,0.63423,36.577,50659.627,0.89768,5282.337,0.98481,15903.571,0.30891,5%
S3 等量调配,55,71805.072,0.63387,36.613,50618.674,0.89696,5282.827,0.9849,15903.571,0.30891,
S3 等量调配,56,71765.603,0.63353,36.647,50583.931,0.89634,5278.1,0.98402,15903.571,0.30891,
S3 等量调配,57,71727.018,0.63318,36.682,50550.295,0.89574,5273.152,0.98309,15903.571,0.30891,
S3 等量调配,58,71689.892,0.63286,36.714,50518.314,0.89518,5268.007,0.98213,15903.571,0.30891,
S3 等量调配,59,71653.992,0.63254,36.746,50487.621,0.89463,5262.8,0.98116,15903.571,0.30891,
S3 等量调配,60,71618.388,0.63223,36.777,50456.809,0.89409,5258.007,0.98027,15903.571,0.30891,
S3 等量调配,61,71583.521,0.63192,36.808,50427.099,0.89356,5252.851,0.97931,15903.571,0.30891,
S3 等量调配,62,71549.466,0.63162,36.838,50397.64,0.89304,5248.255,0.97845,15903.571,0.30891,
S3 等量调配,63,71515.478,0.63132,36.868,50367.56,0.89251,5244.347,0.97772,15903.571,0.30891,
S3 等量调配,64,71482.492,0.63103,36.897,50338.698,0.892,5240.223,0.97695,15903.571,0.30891,
S3 等量调配,65,71450.771,0.63075,36.925,50312.091,0.89152,5235.109,0.976,15903.571,0.30891,
S3 等量调配,66,71420.226,0.63048,36.952,50284.51,0.89103,5232.145,0.97545,15903.571,0.30891,
S3 等量调配,67,71390.353,0.63021,36.979,50259.654,0.89059,5227.127,0.97451,15903.571,0.30891,
S3 等量调配,68,71360.806,0.62995,37.005,50234.96,0.89016,5222.275,0.97361,15903.571,0.30891,
S3 等量调配,69,71331.168,0.62969,37.031,50208.971,0.8897,5218.625,0.97293,15903.571,0.30891,
S3 等量调配,70,71301.762,0.62943,37.057,50184.995,0.88927,5213.195,0.97192,15903.571,0.30891,
S3 等量调配,71,71274.158,0.62919,37.081,50161.136,0.88885,5209.45,0.97122,15903.571,0.30891,
S3 等量调配,72,71246.394,0.62894,37.106,50138.336,0.88844,5204.487,0.97029,15903.571,0.30891,
S3 等量调配,73,71219.291,0.6287,37.13,50116.378,0.88806,5199.341,0.96933,15903.571,0.30891,
S3 等量调配,74,71191.806,0.62846,37.154,50092.851,0.88764,5195.383,0.96859,15903.571,0.30891,
S3 等量调配,75,71164.962,0.62822,37.178,50071.431,0.88726,5189.959,0.96758,15903.571,0.30891,
S3 等量调配,76,71138.866,0.62799,37.201,50046.663,0.88682,5188.631,0.96734,15903.571,0.30891,
S3 等量调配,77,71110.605,0.62774,37.226,50023.473,0.88641,5183.56,0.96639,15903.571,0.30891,
S3 等量调配,78,71085.061,0.62752,37.248,50000.965,0.88601,5180.524,0.96582,15903.571,0.30891,
S3 等量调配,79,71060.085,0.6273,37.27,49981.084,0.88566,5175.43,0.96487,15903.571,0.30891,
S3 等量调配,80,71035.099,0.62708,37.292,49961.289,0.88531,5170.239,0.96391,15903.571,0.30891,
S3 等量调配,81,71010.829,0.62686,37.314,49939.656,0.88492,5167.601,0.96342,15903.571,0.30891,
S3 等量调配,82,70986.321,0.62665,37.335,49919.161,0.88456,5163.589,0.96267,15903.571,0.30891,
S3 等量调配,83,70961.892,0.62643,37.357,49900.119,0.88422,5158.202,0.96166,15903.571,0.30891,
S3 等量调配,84,70937.686,0.62622,37.378,49880.696,0.88388,5153.419,0.96077,15903.571,0.30891,
S3 等量调配,85,70903.203,0.62591,37.409,49851.639,0.88336,5147.993,0.95976,15903.571,0.30891,
S3 等量调配,86,70879.426,0.6257,37.43,49833.18,0.88304,5142.675,0.95877,15903.571,0.30891,
S3 等量调配,87,70855.787,0.62549,37.451,49813.541,0.88269,5138.675,0.95802,15903.571,0.30891,
S3 等量调配,88,70832.52,0.62529,37.471,49795.479,0.88237,5133.469,0.95705,15903.571,0.30891,
S3 等量调配,89,70810.064,0.62509,37.491,49777.177,0.88205,5129.316,0.95628,15903.571,0.30891,
S3 等量调配,90,70785.033,0.62487,37.513,49757.476,0.8817,5123.985,0.95528,15903.571,0.30891,
S3 等量调配,91,70763.336,0.62468,37.532,49738.953,0.88137,5120.812,0.95469,15903.571,0.30891,
S3 等量调配,92,70741.984,0.62449,37.551,49722.869,0.88108,5115.544,0.95371,15903.571,0.30891,
S3 等量调配,93,70720.678,0.6243,37.57,49706.703,0.8808,5110.404,0.95275,15903.571,0.30891,
S3 等量调配,94,70699.015,0.62411,37.589,49690.007,0.8805,5105.437,0.95183,15903.571,0.30891,
S3 等量调配,95,70677.823,0.62392,37.608,49673.873,0.88021,5100.379,0.95088,15903.571,0.30891,
S3 等量调配,96,70657.192,0.62374,37.626,49658.341,0.87994,5095.28,0.94993,15903.571,0.30891,
S3 等量调配,97,70636.701,0.62356,37.644,49642.726,0.87966,5090.403,0.94902,15903.571,0.30891,
S3 等量调配,98,70616.279,0.62338,37.662,49627.566,0.87939,5085.142,0.94804,15903.571,0.30891,
S3 等量调配,99,70596.295,0.6232,37.68,49610.343,0.87909,5082.381,0.94753,15903.571,0.30891,
S3 等量调配,100,70575.792,0.62302,37.698,49595.155,0.87882,5077.065,0.94654,15903.571,0.30891,
S3 等量调配,101,70555.5,0.62284,37.716,49579.639,0.87854,5072.289,0.94565,15903.571,0.30891,
S3 等量调配,102,70535.7,0.62267,37.733,49565.307,0.87829,5066.822,0.94463,15903.571,0.30891,
S3 等量调配,103,70515.885,0.62249,37.751,49550.127,0.87802,5062.186,0.94376,15903.571,0.30891,
S3 等量调配,104,70496.688,0.62232,37.768,49534.285,0.87774,5058.831,0.94314,15903.571,0.30891,
S3 等量调配,105,70477.844,0.62216,37.784,49520.679,0.8775,5053.594,0.94216,15903.571,0.30891,
S3 等量调配,106,70458.849,0.62199,37.801,49506.793,0.87725,5048.484,0.94121,15903.571,0.30891,
S3 等量调配,107,70440.829,0.62183,37.817,49493.324,0.87702,5043.934,0.94036,15903.571,0.30891,
S3 等量调配,108,70422.754,0.62167,37.833,49479.936,0.87678,5039.247,0.93949,15903.571,0.30891,10%
S3 等量调配,109,70404.698,0.62151,37.849,49465.926,0.87653,5035.2,0.93873,15903.571,0.30891,
S3 等量调配,110,70386.548,0.62135,37.865,49451.207,0.87627,5031.769,0.93809,15903.571,0.30891,
S3 等量调配,111,70368.896,0.6212,37.88,49438.261,0.87604,5027.064,0.93721,15903.571,0.30891,
S3 等量调配,112,70351.694,0.62104,37.896,49424.884,0.8758,5023.239,0.9365,15903.571,0.30891,
S3 等量调配,113,70334.823,0.62089,37.911,49413.193,0.8756,5018.058,0.93554,15903.571,0.30891,
S3 等量调配,114,70317.763,0.62074,37.926,49398.805,0.87534,5015.387,0.93504,15903.571,0.30891,
S3 等量调配,115,70300.219,0.62059,37.941,49386.549,0.87512,5010.099,0.93405,15903.571,0.30891,
S3 等量调配,116,70282.355,0.62043,37.957,49373.97,0.8749,5004.813,0.93307,15903.571,0.30891,
S3 等量调配,117,70265.423,0.62028,37.972,49361.019,0.87467,5000.833,0.93232,15903.571,0.30891,
S3 等量调配,118,70248.594,0.62013,37.987,49349.147,0.87446,4995.875,0.9314,15903.571,0.30891,
S3 等量调配,119,70231.638,0.61998,38.002,49337.552,0.87425,4990.515,0.9304,15903.571,0.30891,
S3 等量调配,120,70214.908,0.61984,38.016,49325.62,0.87404,4985.716,0.92951,15903.571,0.30891,
S3 等量调配,121,70198.143,0.61969,38.031,49314.112,0.87384,4980.46,0.92853,15903.571,0.30891,
S3 等量调配,122,70181.721,0.61954,38.046,49301.996,0.87362,4976.154,0.92772,15903.571,0.30891,
S3 等量调配,123,70165.325,0.6194,38.06,49290.654,0.87342,4971.1,0.92678,15903.571,0.30891,
S3 等量调配,124,70148.671,0.61925,38.075,49279.418,0.87322,4965.682,0.92577,15903.571,0.30891,
S3 等量调配,125,70132.734,0.61911,38.089,49266.191,0.87299,4962.972,0.92527,15903.571,0.30891,
S3 等量调配,126,70116.844,0.61897,38.103,49255.716,0.8728,4957.557,0.92426,15903.571,0.30891,
S3 等量调配,127,70101.364,0.61883,38.117,49244.242,0.8726,4953.55,0.92351,15903.571,0.30891,
S3 等量调配,128,70086.1,0.6187,38.13,49233.883,0.87242,4948.645,0.92259,15903.571,0.30891,
S3 等量调配,129,70070.804,0.61856,38.144,49222.791,0.87222,4944.442,0.92181,15903.571,0.30891,
S3 等量调配,130,70056.211,0.61844,38.156,49212.767,0.87204,4939.873,0.92096,15903.571,0.30891,
S3 等量调配,131,70041.175,0.6183,38.17,49202.2,0.87186,4935.404,0.92013,15903.571,0.30891,
S3 等量调配,132,70026.851,0.61818,38.182,49190.605,0.87165,4932.675,0.91962,15903.571,0.30891,
S3 等量调配,133,70011.865,0.61804,38.196,49180.94,0.87148,4927.353,0.91862,15903.571,0.30891,
S3 等量调配,134,69997.407,0.61792,38.208,49171.265,0.87131,4922.57,0.91773,15903.571,0.30891,
