情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S1 只增,1%,11,11,81487.285,0.71935,28.065,54906.924,5451.79,21128.571
S1 只增,5%,54,54,71846.091,0.63424,36.576,50662.694,5279.825,15903.571
S1 只增,10%,108,108,70420.361,0.62165,37.835,49488.012,5028.778,15903.571
S1 只增,20%,216,216,68999.472,0.60911,39.089,48550.526,4545.374,15903.571
S1 只增,30%,324,324,68067.128,0.60088,39.912,48122.418,4041.139,15903.571
S1 只增,40%,431,431,67399.176,0.59498,40.502,47914.274,3581.33,15903.571
S1 只增,50%,539,539,66867.848,0.59029,40.971,47810.401,3153.876,15903.571
