序号,经度,纬度,到最近现有站km,热点同址<1km
1,112.9846789,23.4437298,16.84,False
2,113.2557119,22.9980755,1.385,False
3,113.3855769,22.8211069,1.315,False
4,113.5030366,23.1913933,1.582,False
5,113.3061828,22.8667785,3.537,False
6,114.0028402,23.8512572,32.782,False
7,113.136015,23.3088281,5.109,False
8,113.5490633,23.0894836,1.599,False
9,113.4758607,23.2106127,1.057,False
10,113.4574621,23.6179257,3.525,False
11,113.6655732,22.6544926,0.957,True
12,113.089874,23.3108019,6.763,False
13,113.8715322,23.4292957,8.554,False
14,113.0101643,23.447691,14.634,False
15,113.1300117,23.4725495,3.193,False
16,113.2627775,23.2699515,1.366,False
17,113.3091328,23.5070112,5.481,False
18,113.6452979,23.360485,8.032,False
19,113.8352405,23.8108616,16.557,False
20,113.409889,23.6780841,6.874,False
21,113.6707428,22.6397474,0.775,True
22,113.6233047,23.343011,8.79,False
23,113.8865402,23.8204633,21.092,False
24,113.8897019,23.4467621,11.017,False
25,113.6348629,23.3529726,9.056,False
26,113.2614627,23.5907862,4.24,False
27,113.6704265,22.6411851,0.616,True
28,113.5309447,23.4015914,6.815,False
29,113.4062001,23.6650733,5.564,False
30,113.7590487,23.7808514,9.543,False
31,113.6505066,23.3625197,7.531,False
32,113.0467501,23.3165416,10.022,False
33,113.7862185,23.4030283,1.201,False
34,113.788704,23.140693,5.254,False
35,113.6141297,23.3370413,7.809,False
36,113.5656505,22.6775479,6.988,False
37,113.2995197,23.5610586,1.557,False
38,113.4269701,23.4538859,3.942,False
39,113.5520127,22.8843421,7.976,False
40,113.6705794,22.6413456,0.608,True
41,113.5220022,23.4091147,5.591,False
42,113.4098965,23.6387132,2.712,False
43,113.2741096,23.5844938,3.183,False
44,113.6315594,23.3456361,9.431,False
45,113.8916416,23.4479308,11.215,False
46,113.9324536,23.8343583,25.748,False
47,113.0344555,23.443904,12.248,False
48,113.5653686,23.2997986,4.802,False
49,113.4638211,23.5613891,3.757,False
50,113.7329797,23.3840474,3.564,False
51,113.5119267,23.4253653,3.546,False
52,113.6703546,22.6413346,0.598,True
53,113.0903306,23.293964,8.193,False
54,113.4449124,23.5066368,7.809,False
55,113.5518525,22.8865042,7.995,False
56,113.7813836,23.1719859,2.115,False
57,113.2888462,23.5488439,0.393,True
58,113.6405421,23.3507538,8.481,False
59,113.8706449,23.4261644,8.194,False
60,113.052648,23.4429858,10.618,False
61,113.4090999,23.6501728,3.903,False
62,113.7690193,23.1922299,2.492,False
63,113.5072336,23.4265802,3.133,False
64,113.5881321,23.3100728,5.834,False
65,113.268139,23.5870107,3.599,False
66,113.0440046,23.3153889,10.33,False
67,113.6688431,22.6408655,0.596,True
68,113.0624366,23.4455957,9.989,False
69,113.4580385,23.4338568,3.089,False
70,113.7894364,23.4036009,1.171,False
71,113.5826596,23.3090141,5.408,False
72,113.7778312,23.1736993,2.198,False
73,113.6437449,23.3487005,8.165,False
74,113.4696352,23.4249128,2.438,False
75,113.4089926,23.6501384,3.903,False
76,113.5292467,22.8871849,5.74,False
77,113.5401728,22.6969744,3.864,False
78,113.531429,23.2815142,2.357,False
79,113.0313514,23.4439817,12.528,False
80,113.2772022,23.5840499,3.1,False
81,113.0725411,23.3127138,7.961,False
82,113.4637771,23.4269874,2.414,False
83,113.8953896,23.4491592,11.498,False
84,113.759823,23.2048553,3.877,False
85,114.0084055,23.8611513,33.836,False
86,113.6576064,23.3666046,6.897,False
87,113.5537819,23.2916821,4.691,False
88,113.6642233,22.6391359,0.853,True
89,113.4864334,23.4285304,2.264,False
90,113.8655609,23.8101164,18.716,False
91,113.5281303,23.279734,2.027,False
92,113.8190824,23.1307777,6.007,False
93,113.028852,23.4441837,12.762,False
94,113.5157731,22.7131429,2.222,False
95,113.4420722,23.5058969,7.911,False
96,113.7388138,23.3911878,4.504,False
