情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S2 只减,10%,108,108,113282.972,1.00003,-0.003,56425.913,5374.916,51482.143
S2 只减,20%,216,216,113289.84,1.00009,-0.009,56410.62,5397.077,51482.143
S2 只减,30%,324,324,113309.791,1.00026,-0.026,56394.963,5432.685,51482.143
S2 只减,40%,431,431,113365.328,1.00075,-0.075,56380.566,5502.619,51482.143
S2 只减,50%,539,539,113472.856,1.0017,-0.17,56355.407,5635.307,51482.143
S2 只减,60%,647,647,113742.874,1.00409,-0.409,56324.01,5936.721,51482.143
S2 只减,70%,754,754,114311.926,1.00911,-0.911,56352.59,6477.193,51482.143
S2 只减,80%,862,862,115764.733,1.02194,-2.194,56519.461,7763.129,51482.143
S2 只减,90%,970,970,121343.064,1.07118,-7.118,57060.191,11275.73,53007.143
