情景,口径,变化站点数,M,M/M_base,相对改善%,M_per_event,是否ADD_FRACS节点
S3等量调配,空间置换,0,1232139.204594,1.0,0.0,274.485777,
S3等量调配,空间置换,1,1228617.616923,0.997142,0.2858,273.701267,
S3等量调配,空间置换,2,1225836.153424,0.994884,0.5116,273.081635,
S3等量调配,空间置换,3,1224321.758332,0.993655,0.6345,272.744271,
S3等量调配,空间置换,4,1222810.570005,0.992429,0.7571,272.407621,
S3等量调配,空间置换,5,1221301.848102,0.991204,0.8796,272.07152,
S3等量调配,空间置换,6,1219795.170033,0.989982,1.0018,271.735875,
S3等量调配,空间置换,7,1218259.410324,0.988735,1.1265,271.393751,
S3等量调配,空间置换,8,1216751.30321,0.987511,1.2489,271.057788,
S3等量调配,空间置换,9,1215238.052527,0.986283,1.3717,270.720678,1%
S3等量调配,空间置换,10,1213728.15652,0.985058,1.4942,270.384316,
S3等量调配,空间置换,11,1212229.017859,0.983841,1.6159,270.05035,
S3等量调配,空间置换,12,1210731.568741,0.982626,1.7374,269.716761,
S3等量调配,空间置换,13,1209211.593817,0.981392,1.8608,269.378154,
S3等量调配,空间置换,14,1207716.380983,0.980179,1.9821,269.045062,
S3等量调配,空间置换,15,1206227.007048,0.97897,2.103,268.713272,
S3等量调配,空间置换,16,1204739.221563,0.977762,2.2238,268.381836,
S3等量调配,空间置换,17,1203247.878346,0.976552,2.3448,268.049606,
S3等量调配,空间置换,18,1201760.013616,0.975344,2.4656,267.718152,2%
S3等量调配,空间置换,19,1200265.121351,0.974131,2.5869,267.385133,
S3等量调配,空间置换,20,1198752.511702,0.972903,2.7097,267.048166,
S3等量调配,空间置换,21,1197240.597975,0.971676,2.8324,266.711354,
S3等量调配,空间置换,22,1195762.28231,0.970477,2.9523,266.382027,
S3等量调配,空间置换,23,1194288.783096,0.969281,3.0719,266.053773,
S3等量调配,空间置换,24,1192759.75964,0.96804,3.196,265.71315,
S3等量调配,空间置换,25,1191271.270546,0.966832,3.3168,265.381557,
S3等量调配,空间置换,26,1189770.791732,0.965614,3.4386,265.047293,
S3等量调配,空间置换,27,1188218.658381,0.964354,3.5646,264.701521,
S3等量调配,空间置换,28,1186794.901709,0.963199,3.6801,264.384348,
S3等量调配,空间置换,29,1185374.934724,0.962046,3.7954,264.06802,
S3等量调配,空间置换,30,1183887.807499,0.960839,3.9161,263.73673,
S3等量调配,空间置换,31,1182458.651251,0.959679,4.0321,263.418354,
S3等量调配,空间置换,32,1180948.595148,0.958454,4.1546,263.081957,
S3等量调配,空间置换,33,1179529.407153,0.957302,4.2698,262.765802,
S3等量调配,空间置换,34,1178000.403802,0.956061,4.3939,262.425183,
S3等量调配,空间置换,35,1176474.360433,0.954823,4.5177,262.085224,
S3等量调配,空间置换,36,1174928.162894,0.953568,4.6432,261.740775,
S3等量调配,空间置换,37,1173501.966135,0.95241,4.759,261.423058,
S3等量调配,空间置换,38,1171939.845802,0.951142,4.8858,261.075062,
S3等量调配,空间置换,39,1170557.02889,0.95002,4.998,260.767009,
S3等量调配,空间置换,40,1168939.792552,0.948708,5.1292,260.406735,
S3等量调配,空间置换,41,1167478.852993,0.947522,5.2478,260.081279,
S3等量调配,空间置换,42,1165883.791791,0.946227,5.3773,259.725944,
S3等量调配,空间置换,43,1164535.302736,0.945133,5.4867,259.425539,
S3等量调配,空间置换,44,1162831.198895,0.94375,5.625,259.045913,5%
S3等量调配,空间置换,45,1161527.159651,0.942692,5.7308,258.75541,
S3等量调配,空间置换,46,1160131.774521,0.941559,5.8441,258.444558,
S3等量调配,空间置换,47,1158738.04905,0.940428,5.9572,258.134075,
S3等量调配,空间置换,48,1156594.917899,0.938689,6.1311,257.656646,
S3等量调配,空间置换,49,1153969.888006,0.936558,6.3442,257.071863,
S3等量调配,空间置换,50,1154213.780938,0.936756,6.3244,257.126196,
S3等量调配,空间置换,51,1153097.966771,0.93585,6.415,256.877624,
S3等量调配,空间置换,52,1151686.396941,0.934705,6.5295,256.563166,
S3等量调配,空间置换,53,1150465.393284,0.933714,6.6286,256.291161,
S3等量调配,空间置换,54,1149086.306934,0.932595,6.7405,255.98394,
S3等量调配,空间置换,55,1148374.429648,0.932017,6.7983,255.825354,
S3等量调配,空间置换,56,1146404.55491,0.930418,6.9582,255.386521,
S3等量调配,空间置换,57,1144864.508862,0.929168,7.0832,255.043442,
S3等量调配,空间置换,58,1143380.171633,0.927963,7.2037,254.712774,
S3等量调配,空间置换,59,1141886.795109,0.926751,7.3249,254.380092,
S3等量调配,空间置换,60,1140575.767173,0.925687,7.4313,254.088032,
S3等量调配,空间置换,61,1139296.264625,0.924649,7.5351,253.802995,
S3等量调配,空间置换,62,1137983.389717,0.923583,7.6417,253.510524,
S3等量调配,空间置换,63,1136485.858653,0.922368,7.7632,253.176916,
S3等量调配,空间置换,64,1135041.735689,0.921196,7.8804,252.855206,
S3等量调配,空间置换,65,1133606.722422,0.920031,7.9969,252.535526,
S3等量调配,空间置换,66,1132232.396633,0.918916,8.1084,252.229365,
S3等量调配,空间置换,67,1131422.56396,0.918259,8.1741,252.048957,
S3等量调配,空间置换,68,1129099.644024,0.916373,8.3627,251.531476,
S3等量调配,空间置换,69,1127590.115618,0.915148,8.4852,251.195196,
S3等量调配,空间置换,70,1127607.943211,0.915163,8.4837,251.199168,
S3等量调配,空间置换,71,1124660.735172,0.912771,8.7229,250.542613,
S3等量调配,空间置换,72,1125276.801121,0.913271,8.6729,250.679855,
S3等量调配,空间置换,73,1122784.849391,0.911248,8.8752,250.124719,
S3等量调配,空间置换,74,1122275.581576,0.910835,8.9165,250.011268,
S3等量调配,空间置换,75,1120938.256136,0.90975,9.025,249.71335,
S3等量调配,空间置换,76,1119119.599321,0.908274,9.1726,249.308205,
S3等量调配,空间置换,77,1117843.446015,0.907238,9.2762,249.023914,
S3等量调配,空间置换,78,1115447.258959,0.905293,9.4707,248.490111,
S3等量调配,空间置换,79,1114796.927542,0.904765,9.5235,248.345235,
S3等量调配,空间置换,80,1118505.58628,0.907775,9.2225,249.17142,
S3等量调配,空间置换,81,1117532.11176,0.906985,9.3015,248.954557,
S3等量调配,空间置换,82,1116712.388095,0.90632,9.368,248.771946,
S3等量调配,空间置换,83,1117333.96934,0.906824,9.3176,248.910417,
S3等量调配,空间置换,84,1117103.522887,0.906637,9.3363,248.85908,
S3等量调配,空间置换,85,1118303.962815,0.907612,9.2388,249.126504,
S3等量调配,空间置换,86,1118906.515637,0.908101,9.1899,249.260736,
S3等量调配,空间置换,87,1125733.059332,0.913641,8.6359,250.781496,
S3等量调配,空间置换,88,1124968.24663,0.91302,8.698,250.611118,10%
S3等量调配,时间排队,0,716578.316922,1.0,0.0,159.633388,
S3等量调配,时间排队,1,638943.360125,0.891659,10.8341,142.338515,
S3等量调配,时间排队,2,572593.903483,0.799067,20.0933,127.557732,
S3等量调配,时间排队,3,517579.845665,0.722293,27.7707,115.302155,
S3等量调配,时间排队,4,478621.349205,0.667926,33.2074,106.623304,
S3等量调配,时间排队,5,458320.264801,0.639595,36.0405,102.100796,
S3等量调配,时间排队,6,444943.187313,0.620928,37.9072,99.120762,
S3等量调配,时间排队,7,443674.074423,0.619156,38.0844,98.838039,
S3等量调配,时间排队,8,442672.495555,0.617759,38.2241,98.614916,
S3等量调配,时间排队,9,441330.748978,0.615886,38.4114,98.316013,1%
S3等量调配,时间排队,10,440820.375605,0.615174,38.4826,98.202316,
S3等量调配,时间排队,11,440357.359437,0.614528,38.5472,98.099169,
S3等量调配,时间排队,12,439980.631957,0.614002,38.5998,98.015245,
S3等量调配,时间排队,13,439727.092011,0.613648,38.6352,97.958763,
S3等量调配,时间排队,14,439500.021055,0.613331,38.6669,97.908178,
S3等量调配,时间排队,15,439321.825802,0.613083,38.6917,97.868481,
S3等量调配,时间排队,16,439202.039183,0.612916,38.7084,97.841796,
S3等量调配,时间排队,17,439088.789667,0.612758,38.7242,97.816567,
S3等量调配,时间排队,18,438987.650003,0.612616,38.7384,97.794036,2%
S3等量调配,时间排队,19,438897.954166,0.612491,38.7509,97.774055,
S3等量调配,时间排队,20,438816.584073,0.612378,38.7622,97.755928,
S3等量调配,时间排队,21,438745.100022,0.612278,38.7722,97.740003,
S3等量调配,时间排队,22,438693.739706,0.612206,38.7794,97.728561,
S3等量调配,时间排队,23,438644.232502,0.612137,38.7863,97.717533,
S3等量调配,时间排队,24,438599.999888,0.612075,38.7925,97.707679,
S3等量调配,时间排队,25,438560.43317,0.61202,38.798,97.698865,
S3等量调配,时间排队,26,438522.826921,0.611968,38.8032,97.690487,
S3等量调配,时间排队,27,438486.211465,0.611917,38.8083,97.68233,
S3等量调配,时间排队,28,438454.530279,0.611872,38.8128,97.675272,
S3等量调配,时间排队,29,438423.692116,0.611829,38.8171,97.668403,
S3等量调配,时间排队,30,438398.122567,0.611794,38.8206,97.662706,
S3等量调配,时间排队,31,438373.527523,0.611759,38.8241,97.657227,
S3等量调配,时间排队,32,438349.944479,0.611726,38.8274,97.651974,
S3等量调配,时间排队,33,438327.706735,0.611695,38.8305,97.64702,
S3等量调配,时间排队,34,438307.499908,0.611667,38.8333,97.642518,
S3等量调配,时间排队,35,438288.441679,0.611641,38.8359,97.638273,
S3等量调配,时间排队,36,438269.483912,0.611614,38.8386,97.634049,
S3等量调配,时间排队,37,438251.106611,0.611589,38.8411,97.629955,
S3等量调配,时间排队,38,438233.625926,0.611564,38.8436,97.626061,
S3等量调配,时间排队,39,438217.568533,0.611542,38.8458,97.622484,
S3等量调配,时间排队,40,438201.991607,0.61152,38.848,97.619014,
S3等量调配,时间排队,41,438187.074107,0.611499,38.8501,97.615691,
S3等量调配,时间排队,42,438172.789683,0.611479,38.8521,97.612509,
S3等量调配,时间排队,43,438159.324994,0.61146,38.854,97.609509,
S3等量调配,时间排队,44,438146.227423,0.611442,38.8558,97.606591,5%
S3等量调配,时间排队,45,438133.929605,0.611425,38.8575,97.603852,
S3等量调配,时间排队,46,438122.277899,0.611409,38.8591,97.601256,
S3等量调配,时间排队,47,438110.739164,0.611393,38.8607,97.598685,
S3等量调配,时间排队,48,438099.370362,0.611377,38.8623,97.596153,
S3等量调配,时间排队,49,438088.275229,0.611361,38.8639,97.593681,
S3等量调配,时间排队,50,438077.284351,0.611346,38.8654,97.591233,
S3等量调配,时间排队,51,438066.534872,0.611331,38.8669,97.588838,
S3等量调配,时间排队,52,438055.8144,0.611316,38.8684,97.58645,
S3等量调配,时间排队,53,438045.274949,0.611301,38.8699,97.584102,
S3等量调配,时间排队,54,438035.028524,0.611287,38.8713,97.581819,
S3等量调配,时间排队,55,438025.409765,0.611274,38.8726,97.579676,
S3等量调配,时间排队,56,438016.346737,0.611261,38.8739,97.577657,
S3等量调配,时间排队,57,438007.846106,0.611249,38.8751,97.575764,
S3等量调配,时间排队,58,437999.385021,0.611237,38.8763,97.573879,
S3等量调配,时间排队,59,437991.448884,0.611226,38.8774,97.572111,
S3等量调配,时间排队,60,437984.189248,0.611216,38.8784,97.570494,
S3等量调配,时间排队,61,437977.063348,0.611206,38.8794,97.568906,
S3等量调配,时间排队,62,437970.130171,0.611196,38.8804,97.567362,
S3等量调配,时间排队,63,437963.589788,0.611187,38.8813,97.565905,
S3等量调配,时间排队,64,437957.297667,0.611179,38.8821,97.564503,
S3等量调配,时间排队,65,437951.017823,0.61117,38.883,97.563104,
S3等量调配,时间排队,66,437944.764448,0.611161,38.8839,97.561711,
S3等量调配,时间排队,67,437938.518599,0.611152,38.8848,97.56032,
S3等量调配,时间排队,68,437932.299053,0.611144,38.8856,97.558934,
S3等量调配,时间排队,69,437926.457189,0.611136,38.8864,97.557633,
S3等量调配,时间排队,70,437920.918627,0.611128,38.8872,97.556399,
S3等量调配,时间排队,71,437915.638465,0.61112,38.888,97.555223,
S3等量调配,时间排队,72,437910.478546,0.611113,38.8887,97.554073,
S3等量调配,时间排队,73,437905.54008,0.611106,38.8894,97.552973,
S3等量调配,时间排队,74,437900.675992,0.6111,38.89,97.551889,
S3等量调配,时间排队,75,437895.824608,0.611093,38.8907,97.550809,
S3等量调配,时间排队,76,437891.176852,0.611086,38.8914,97.549773,
S3等量调配,时间排队,77,437886.712922,0.61108,38.892,97.548779,
S3等量调配,时间排队,78,437882.323061,0.611074,38.8926,97.547801,
S3等量调配,时间排队,79,437878.058627,0.611068,38.8932,97.546851,
S3等量调配,时间排队,80,437873.892352,0.611062,38.8938,97.545923,
S3等量调配,时间排队,81,437869.813928,0.611056,38.8944,97.545014,
S3等量调配,时间排队,82,437865.81572,0.611051,38.8949,97.544123,
S3等量调配,时间排队,83,437861.884128,0.611045,38.8955,97.543248,
S3等量调配,时间排队,84,437857.960019,0.61104,38.896,97.542373,
S3等量调配,时间排队,85,437854.070826,0.611034,38.8966,97.541507,
S3等量调配,时间排队,86,437850.25347,0.611029,38.8971,97.540657,
S3等量调配,时间排队,87,437846.599038,0.611024,38.8976,97.539843,
S3等量调配,时间排队,88,437839.997856,0.611015,38.8985,97.538372,10%
