情景,口径,变化站点数,M,M/M_base,相对改善%,M_per_event,是否ADD_FRACS节点
S2只减,空间置换,0,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,1,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,2,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,3,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,4,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,5,1232135.305731,0.999997,0.0003,274.484908,
S2只减,空间置换,6,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,7,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,8,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,9,1232139.204594,1.0,0.0,274.485777,1%
S2只减,空间置换,10,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,11,1232138.081495,0.999999,0.0001,274.485527,
S2只减,空间置换,12,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,13,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,14,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,15,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,16,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,17,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,18,1232139.204594,1.0,0.0,274.485777,2%
S2只减,空间置换,19,1232138.194951,0.999999,0.0001,274.485552,
S2只减,空间置换,20,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,21,1232135.305731,0.999997,0.0003,274.484908,
S2只减,空间置换,22,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,23,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,24,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,25,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,26,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,27,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,28,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,29,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,30,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,31,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,32,1232139.206585,1.0,-0.0,274.485777,
S2只减,空间置换,33,1232139.261892,1.0,-0.0,274.48579,
S2只减,空间置换,34,1232139.277019,1.0,-0.0,274.485793,
S2只减,空间置换,35,1232139.378435,1.0,-0.0,274.485816,
S2只减,空间置换,36,1232139.406605,1.0,-0.0,274.485822,
S2只减,空间置换,37,1232139.649092,1.0,-0.0,274.485876,
S2只减,空间置换,38,1232139.725664,1.0,-0.0,274.485893,
S2只减,空间置换,39,1232139.843428,1.000001,-0.0001,274.485919,
S2只减,空间置换,40,1232169.501053,1.000025,-0.0025,274.492526,
S2只减,空间置换,41,1232169.532496,1.000025,-0.0025,274.492533,
S2只减,空间置换,42,1232169.532496,1.000025,-0.0025,274.492533,
S2只减,空间置换,43,1232169.552999,1.000025,-0.0025,274.492538,
S2只减,空间置换,44,1232068.626977,0.999943,0.0057,274.470054,5%
S2只减,空间置换,45,1232210.133494,1.000058,-0.0058,274.501578,
S2只减,空间置换,46,1232100.779612,0.999969,0.0031,274.477217,
S2只减,空间置换,47,1232260.56239,1.000098,-0.0098,274.512812,
S2只减,空间置换,48,1231183.558575,0.999224,0.0776,274.272886,
S2只减,空间置换,49,1230126.866893,0.998367,0.1633,274.037485,
