指标,值,单位
M_old(无限容量·零拥挤参照),14922.4,需求·km
空间置换 M_disp,798776.5,需求·km
空间置换(折分钟),1597553.0,需求·min
时间排队 M_queue,716578.3,需求·min
空间置换·可达内无站抛锚,0.0,需求·km
空间置换·容量满抛锚,775781.0,需求·km
空间置换·每次低电量事件,177.9448,km/次
时间排队·每次低电量事件,159.6334,min/次
