情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S2 只减,10%,159,159,107680.663,1.00001,-0.001,52555.567,3821.524,51303.571
S2 只减,20%,318,318,107866.635,1.00174,-0.174,52546.724,3837.767,51482.143
S2 只减,30%,476,476,107889.627,1.00195,-0.195,52530.916,3876.568,51482.143
S2 只减,40%,635,635,107941.95,1.00244,-0.244,52509.542,3950.265,51482.143
S2 只减,50%,793,793,108062.012,1.00355,-0.355,52473.061,4106.808,51482.143
S2 只减,60%,952,952,108411.113,1.00679,-0.679,52514.71,4414.26,51482.143
S2 只减,70%,1111,1111,109028.278,1.01253,-1.253,52473.149,5072.987,51482.143
S2 只减,80%,1269,1269,110675.317,1.02782,-2.782,52609.662,6583.512,51482.143
S2 只减,90%,1428,1428,115894.784,1.07629,-7.629,53257.172,9630.469,53007.143
