情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S2 只减,0,107679.495,1.0,0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S2 只减,1,107679.495,1.0,0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S2 只减,2,107679.495,1.0,0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S2 只减,3,107679.495,1.0,-0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S2 只减,4,107679.495,1.0,-0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S2 只减,5,107679.52,1.0,-0.0,52562.163,1.0,3813.785,1.0,51303.571,1.0,
S2 只减,6,107679.522,1.0,-0.0,52562.165,1.0,3813.786,1.0,51303.571,1.0,
S2 只减,7,107679.526,1.0,-0.0,52562.166,1.0,3813.788,1.0,51303.571,1.0,
S2 只减,8,107679.506,1.0,-0.0,52562.143,1.0,3813.791,1.0,51303.571,1.0,
S2 只减,9,107679.477,1.0,0.0,52562.114,1.0,3813.792,1.0,51303.571,1.0,
S2 只减,10,107679.473,1.0,0.0,52562.109,1.0,3813.793,1.0,51303.571,1.0,
S2 只减,11,107679.469,1.0,0.0,52562.103,1.0,3813.794,1.0,51303.571,1.0,
S2 只减,12,107679.479,1.0,0.0,52562.112,1.0,3813.795,1.0,51303.571,1.0,
S2 只减,13,107679.482,1.0,0.0,52562.115,1.0,3813.796,1.0,51303.571,1.0,
S2 只减,14,107679.451,1.0,0.0,52562.079,1.0,3813.801,1.00001,51303.571,1.0,
S2 只减,15,107679.419,1.0,0.0,52562.042,1.0,3813.805,1.00001,51303.571,1.0,
S2 只减,16,107679.401,1.0,0.0,52562.015,1.0,3813.814,1.00001,51303.571,1.0,
S2 只减,17,107679.406,1.0,0.0,52562.02,1.0,3813.815,1.00001,51303.571,1.0,
S2 只减,18,107679.383,1.0,0.0,52561.989,1.0,3813.823,1.00001,51303.571,1.0,
S2 只减,19,107679.357,1.0,0.0,52561.959,1.0,3813.827,1.00001,51303.571,1.0,
S2 只减,20,107679.337,1.0,0.0,52561.923,1.0,3813.843,1.00002,51303.571,1.0,
S2 只减,21,107679.35,1.0,0.0,52561.921,1.0,3813.858,1.00002,51303.571,1.0,
S2 只减,22,107679.343,1.0,0.0,52561.913,1.0,3813.859,1.00002,51303.571,1.0,
S2 只减,23,107679.358,1.0,0.0,52561.878,0.99999,3813.908,1.00003,51303.571,1.0,
S2 只减,24,107679.373,1.0,0.0,52561.843,0.99999,3813.958,1.00005,51303.571,1.0,
S2 只减,25,107679.367,1.0,0.0,52561.836,0.99999,3813.959,1.00005,51303.571,1.0,
S2 只减,26,107679.304,1.0,0.0,52561.763,0.99999,3813.969,1.00005,51303.571,1.0,
S2 只减,27,107679.304,1.0,0.0,52561.762,0.99999,3813.971,1.00005,51303.571,1.0,
S2 只减,28,107679.287,1.0,0.0,52561.724,0.99999,3813.991,1.00006,51303.571,1.0,
S2 只减,29,107679.264,1.0,0.0,52561.692,0.99999,3814.0,1.00006,51303.571,1.0,
S2 只减,30,107679.329,1.0,0.0,52561.651,0.99999,3814.106,1.00009,51303.571,1.0,
S2 只减,31,107679.394,1.0,0.0,52561.611,0.99999,3814.211,1.00011,51303.571,1.0,
S2 只减,32,107679.415,1.0,0.0,52561.629,0.99999,3814.215,1.00011,51303.571,1.0,
S2 只减,33,107679.407,1.0,0.0,52561.616,0.99999,3814.219,1.00012,51303.571,1.0,
S2 只减,34,107679.433,1.0,0.0,52561.567,0.99999,3814.295,1.00013,51303.571,1.0,
