情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S3 等量调配,0,107679.495,1.0,0.0,52562.143,1.0,3813.781,1.0,51303.571,1.0,
S3 等量调配,1,98574.793,0.91545,8.455,52522.606,0.99925,3841.472,1.00726,42210.714,0.82276,
S3 等量调配,2,93155.51,0.86512,13.488,52522.413,0.99924,3858.096,1.01162,36775.0,0.71681,
S3 等量调配,3,90618.726,0.84156,15.844,52517.96,0.99916,3865.052,1.01344,34235.714,0.66732,
S3 等量调配,4,88288.373,0.81992,18.008,52517.396,0.99915,3870.977,1.015,31900.0,0.62179,
S3 等量调配,5,86224.959,0.80076,19.924,52517.546,0.99915,3875.27,1.01612,29832.143,0.58148,
S3 等量调配,6,84389.498,0.78371,21.629,52525.397,0.9993,3878.387,1.01694,27985.714,0.54549,
S3 等量调配,7,82562.991,0.76675,23.325,52530.688,0.9994,3882.303,1.01797,26150.0,0.50971,
S3 等量调配,8,80834.574,0.7507,24.93,52525.954,0.99931,3887.191,1.01925,24421.429,0.47602,
S3 等量调配,9,79315.891,0.73659,26.341,52527.123,0.99933,3888.768,1.01966,22900.0,0.44636,
S3 等量调配,10,78041.084,0.72475,27.525,52518.348,0.99917,3890.593,1.02014,21632.143,0.42165,
S3 等量调配,11,76886.261,0.71403,28.597,52513.272,0.99907,3890.846,1.02021,20482.143,0.39923,
S3 等量调配,12,75895.954,0.70483,29.517,52323.92,0.99547,3889.891,1.01996,19682.143,0.38364,
S3 等量调配,13,74967.478,0.69621,30.379,52114.474,0.99148,3888.718,1.01965,18964.286,0.36965,
S3 等量调配,14,74049.291,0.68768,31.232,52082.553,0.99088,3888.167,1.0195,18078.571,0.35238,
S3 等量调配,15,73212.434,0.67991,32.009,52078.48,0.9908,3887.526,1.01934,17246.429,0.33616,
S3 等量调配,16,72427.535,0.67262,32.738,52079.353,0.99081,3887.468,1.01932,16460.714,0.32085,1%
S3 等量调配,17,71689.555,0.66577,33.423,52078.156,0.99079,3886.4,1.01904,15725.0,0.30651,
S3 等量调配,18,71426.482,0.66332,33.668,51818.788,0.98586,3882.694,1.01807,15725.0,0.30651,
S3 等量调配,19,71265.806,0.66183,33.817,51661.822,0.98287,3878.984,1.0171,15725.0,0.30651,
S3 等量调配,20,71114.872,0.66043,33.957,51514.556,0.98007,3875.316,1.01614,15725.0,0.30651,
S3 等量调配,21,70989.384,0.65927,34.073,51392.763,0.97775,3871.622,1.01517,15725.0,0.30651,
S3 等量调配,22,70880.191,0.65825,34.175,51286.903,0.97574,3868.288,1.01429,15725.0,0.30651,
S3 等量调配,23,70790.566,0.65742,34.258,51200.944,0.9741,3864.623,1.01333,15725.0,0.30651,
S3 等量调配,24,70712.836,0.6567,34.33,51126.662,0.97269,3861.174,1.01243,15725.0,0.30651,
S3 等量调配,25,70647.7,0.65609,34.391,51065.24,0.97152,3857.46,1.01145,15725.0,0.30651,
S3 等量调配,26,70584.437,0.6555,34.45,51005.281,0.97038,3854.156,1.01059,15725.0,0.30651,
S3 等量调配,27,70526.346,0.65497,34.503,50949.634,0.96932,3851.712,1.00995,15725.0,0.30651,
S3 等量调配,28,70469.595,0.65444,34.556,50896.531,0.96831,3848.064,1.00899,15725.0,0.30651,
S3 等量调配,29,70414.464,0.65393,34.607,50845.022,0.96733,3844.441,1.00804,15725.0,0.30651,
S3 等量调配,30,70360.454,0.65342,34.658,50794.27,0.96637,3841.184,1.00719,15725.0,0.30651,
S3 等量调配,31,70310.587,0.65296,34.704,50748.013,0.96549,3837.574,1.00624,15725.0,0.30651,
S3 等量调配,32,70261.088,0.6525,34.75,50702.211,0.96461,3833.877,1.00527,15725.0,0.30651,
S3 等量调配,33,70212.48,0.65205,34.795,50657.153,0.96376,3830.327,1.00434,15725.0,0.30651,
