情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,16,16,72427.535,0.67262,32.738,52079.353,3887.468,16460.714
S3 等量调配,5%,80,80,69017.65,0.64095,35.905,49609.755,3682.895,15725.0
S3 等量调配,10%,159,159,68019.061,0.63168,36.832,48858.526,3435.535,15725.0
S3 等量调配,20%,318,318,67037.136,0.62256,37.744,48164.715,2968.85,15903.571
S3 等量调配,30%,476,476,66323.969,0.61594,38.406,47890.57,2529.828,15903.571
S3 等量调配,40%,635,635,65856.782,0.6116,38.84,47744.764,2208.446,15903.571
S3 等量调配,50%,793,793,65571.757,0.60895,39.105,47666.081,2002.104,15903.571
