序号,经度,纬度,到最近现有站km,热点同址<1km
1,112.9846789,23.4437298,16.84,False
2,113.2557119,22.9980755,3.53,False
3,113.3855769,22.8211069,6.635,False
4,113.5030366,23.1913933,1.582,False
5,113.3061828,22.8667785,3.892,False
6,114.0028402,23.8512572,32.782,False
7,113.136015,23.3088281,5.109,False
8,113.5490633,23.0894836,1.599,False
9,113.4758607,23.2106127,1.483,False
10,113.4574621,23.6179257,3.525,False
11,113.2036769,23.1179981,1.583,False
12,113.089874,23.3108019,6.763,False
13,113.6655732,22.6544926,0.957,True
14,113.8715322,23.4292957,8.554,False
15,113.0101643,23.447691,14.634,False
16,113.1300117,23.4725495,3.193,False
17,113.2627775,23.2699515,1.668,False
18,113.3091328,23.5070112,5.481,False
19,113.6233047,23.343011,8.79,False
20,113.8352405,23.8108616,16.557,False
21,113.409889,23.6780841,6.874,False
22,113.6452979,23.360485,8.032,False
23,113.6707428,22.6397474,0.775,True
24,113.8865402,23.8204633,21.092,False
25,113.8897019,23.4467621,11.017,False
26,113.5309447,23.4015914,7.469,False
27,113.6141297,23.3370413,7.809,False
28,113.5520127,22.8843421,7.976,False
29,113.0467501,23.3165416,10.022,False
30,113.4269701,23.4538859,4.359,False
31,113.6348629,23.3529726,9.056,False
32,113.6704265,22.6411851,0.616,True
33,113.5653686,23.2997986,4.802,False
34,113.4062001,23.6650733,5.564,False
35,113.5072336,23.4265802,5.573,False
36,113.2451824,23.5953978,5.557,False
37,113.7590487,23.7808514,9.543,False
38,113.7862185,23.4030283,1.201,False
39,113.4449124,23.5066368,8.691,False
40,113.4638211,23.5613891,4.752,False
41,113.6505066,23.3625197,7.531,False
42,113.9324536,23.8343583,25.748,False
43,113.5518525,22.8865042,7.995,False
44,113.788704,23.140693,5.254,False
45,113.5119267,23.4253653,5.963,False
46,113.5881321,23.3100728,5.834,False
47,113.6705794,22.6413456,0.608,True
48,113.052648,23.4429858,10.618,False
49,113.8916416,23.4479308,11.215,False
50,113.5656505,22.6775479,6.988,False
51,113.0903306,23.293964,8.193,False
