情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S2 只减,0,112441.002,1.0,0.0,54273.373,1.0,5160.485,1.0,53007.143,1.0,
S2 只减,1,112441.002,1.0,-0.0,54273.373,1.0,5160.485,1.0,53007.143,1.0,
S2 只减,2,112441.002,1.0,-0.0,54273.374,1.0,5160.485,1.0,53007.143,1.0,
S2 只减,3,112441.178,1.0,-0.0,54273.49,1.0,5160.544,1.00001,53007.143,1.0,
S2 只减,4,112441.263,1.0,-0.0,54273.508,1.0,5160.613,1.00002,53007.143,1.0,
S2 只减,5,112441.057,1.0,-0.0,54273.258,1.0,5160.656,1.00003,53007.143,1.0,
S2 只减,6,112441.047,1.0,-0.0,54273.207,1.0,5160.698,1.00004,53007.143,1.0,
S2 只减,7,112440.764,1.0,0.0,54272.859,0.99999,5160.762,1.00005,53007.143,1.0,
S2 只减,8,112440.725,1.0,0.0,54272.773,0.99999,5160.809,1.00006,53007.143,1.0,
S2 只减,9,112441.066,1.0,-0.0,54272.618,0.99999,5161.306,1.00016,53007.143,1.0,
S2 只减,10,112441.54,1.0,-0.0,54272.838,0.99999,5161.559,1.00021,53007.143,1.0,
S2 只减,11,112441.486,1.0,-0.0,54272.686,0.99999,5161.657,1.00023,53007.143,1.0,
S2 只减,12,112441.505,1.0,-0.0,54272.594,0.99999,5161.768,1.00025,53007.143,1.0,
S2 只减,13,112441.169,1.0,-0.0,54272.144,0.99998,5161.882,1.00027,53007.143,1.0,
S2 只减,14,112440.768,1.0,0.0,54271.593,0.99997,5162.032,1.0003,53007.143,1.0,
S2 只减,15,112441.593,1.00001,-0.001,54271.68,0.99997,5162.77,1.00044,53007.143,1.0,
S2 只减,16,112441.279,1.0,-0.0,54271.294,0.99996,5162.842,1.00046,53007.143,1.0,
S2 只减,17,112442.008,1.00001,-0.001,54271.129,0.99996,5163.737,1.00063,53007.143,1.0,
S2 只减,18,112442.272,1.00001,-0.001,54270.988,0.99996,5164.141,1.00071,53007.143,1.0,
S2 只减,19,112442.088,1.00001,-0.001,54270.724,0.99995,5164.221,1.00072,53007.143,1.0,
S2 只减,20,112441.609,1.00001,-0.001,54270.144,0.99994,5164.321,1.00074,53007.143,1.0,
