删除序号,station_id,经度,纬度
1,313744932_3413,113.239207,23.19439
2,914401153_JT0045,113.217082,23.363041
3,313744932_3408,113.548495,23.128645
4,914401153_JT0100,113.321326,23.120687
5,MA0019FW4_GZYY-BYSF-020-0010,113.281281,23.197834
6,914401153_JT0096,113.255643,23.128971
7,395815801_4401110059,113.268434,23.206579
8,313744932_335,113.177275,23.06893
9,395815801_4401130033,113.404503,23.053473
10,313744932_1376,113.349668,23.254231
11,395815801_4401030001,113.227372,23.069645
12,313744932_2355,113.227898,23.071733
13,313744932_506,113.235314,23.212132
14,313744932_789,113.298778,23.220959
15,395815801_4401130008,113.360046,22.978108
16,313744932_97,113.245349,23.174136
17,395815801_4401140003,113.22491,23.38733
18,395815801_4401060022,113.36324,23.127203
19,313744932_2571,113.250322,23.163123
20,395815801_4401110003,113.244431,23.197476
21,313744932_61,113.319993,23.168469
22,313744932_3222,113.339118,23.18449
23,313744932_2929,113.30191,23.225783
24,313744932_899,113.248675,23.165911
25,313744932_1087,113.249911,23.251988
26,MA1FP0228_11123,113.342076,23.152198
27,395815801_4401060010,113.329365,23.143562
28,313744932_11633,113.24331,23.126825
29,MA0019FW4_GZYY-DYSW-020-0005,113.396951,23.116897
30,726811355_304,113.309535,23.019505
31,MA0019FW4_GZYY-CHCY-020-0004,113.235854,23.166429
32,313744932_447,113.328914,22.994719
33,313744932_478,113.281077,23.247335
34,395815801_4401110027,113.282972,23.240748
35,313744932_1704,113.270362,23.233363
36,313744932_1384,113.207918,23.238054
37,320513112_20-246,113.218875,23.38979
38,313744932_17,113.340693,23.177589
39,320513112_20-283,113.195611,23.40334
40,MA0019FW4_GZYY-DXCZ-020-0006,113.401083,23.056019
41,313744932_794,113.296819,23.229378
42,313744932_11745,113.276613,23.211954
43,313744932_878,113.328943,22.994211
44,313744932_1749,113.322437,23.169231
45,313744932_339,113.234993,23.212477
46,395815801_4401140002,113.227532,23.474182
47,313744932_398,113.367656,23.044376
48,313744932_2594,113.354195,23.186855
49,MA0019FW4_GZYY-SYNH-020-0003,113.325635,23.021892
50,313744932_1452,113.251815,23.159438
51,313744932_2422,113.401992,23.158157
52,313744932_1377,113.248459,23.182027
53,313744932_733,113.31266,23.274265
54,313744932_3172,113.235238,23.212134
55,313744932_2786,113.297184,23.229011
56,395815801_4401180005,113.663766,23.130467
57,395815801_4401030007,113.210425,23.054544
58,313744932_2711,113.266376,23.217349
59,395815801_4401060029,113.397641,23.115796
60,914401153_JT0002,113.225021,23.100614
61,914401153_JT0027,113.24101,23.13691
62,313744932_3555,113.283807,23.205985
63,313744932_504,113.262256,23.138408
64,395815801_4401180013,113.590265,23.156629
65,395815801_4401060030,113.414692,23.1128
66,320513112_20-277,113.21825,23.362885
67,395815801_4401030004,113.228877,23.078679
68,395815801_4401060042,113.369963,23.134554
69,395815801_4401060037,113.370289,23.134227
70,313744932_1490,113.576397,23.113475
71,313744932_2267,113.317356,23.144292
72,313744932_2862,113.446288,23.175044
73,313744932_3144,113.317516,23.151581
74,395815801_4401030003,113.223708,23.092143
75,313744932_3048,113.298778,23.220959
76,313744932_1691,113.253755,23.240658
77,395815801_4401030010,113.232541,23.147803
78,313744932_235,113.292822,23.217506
79,395815801_4401060002,113.400394,23.135954
80,320513112_20-281,113.4555,22.885804
81,313744932_2152,113.235322,23.212256
82,313744932_1852,113.283066,23.259325
83,395815801_4401180002,113.791968,23.279825
84,313744932_320492,113.531627,23.134186
85,313744932_2640,113.354096,23.186675
86,313744932_1064,113.419469,23.121983
87,313744932_1179,113.247041,23.249114
88,320513112_20-270,113.601244,23.188047
89,313744932_2881,113.229814,23.163417
90,313744932_3783,113.40417,23.049419
91,320513112_20-269,113.601363,23.188055
