情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,7,7,86983.802,0.7736,22.64,53241.292,5203.224,28539.286
S3 等量调配,5%,34,34,70910.739,0.63065,36.935,50041.171,4965.997,15903.571
S3 等量调配,10%,67,67,69201.391,0.61545,38.455,48720.071,4577.749,15903.571
S3 等量调配,20%,133,133,67401.773,0.59944,40.056,47656.919,3841.283,15903.571
S3 等量调配,30%,199,199,66165.376,0.58845,41.155,47108.556,3153.248,15903.571
S3 等量调配,40%,266,266,65199.88,0.57986,42.014,46817.149,2479.159,15903.571
S3 等量调配,50%,332,332,64576.936,0.57432,42.568,46664.748,2008.617,15903.571
