情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S2 只减,10%,275,275,103518.451,1.00002,-0.002,51599.651,2597.371,49321.429
S2 只减,20%,550,550,103700.691,1.00178,-0.178,51586.13,2614.561,49500.0
S2 只减,30%,825,825,103848.481,1.00321,-0.321,51569.015,2658.038,49621.429
S2 只减,40%,1100,1100,103903.968,1.00374,-0.374,51538.271,2744.268,49621.429
S2 只减,50%,1375,1375,104209.396,1.00669,-0.669,51520.393,2921.145,49767.857
S2 只减,60%,1650,1650,104853.557,1.01292,-1.292,51586.141,3242.416,50025.0
S2 只减,70%,1925,1925,105718.385,1.02127,-2.127,51616.642,3883.885,50217.857
S2 只减,80%,2200,2200,107116.804,1.03478,-3.478,51633.967,5264.98,50217.857
S2 只减,90%,2475,2475,112615.01,1.08789,-8.789,52014.399,7593.468,53007.143
