情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S3 等量调配,0,103516.616,1.0,0.0,51604.78,1.0,2590.407,1.0,49321.429,1.0,
S3 等量调配,1,94415.019,0.91208,8.792,51574.536,0.99941,2611.912,1.0083,40228.571,0.81564,
S3 等量调配,2,88992.246,0.85969,14.031,51574.584,0.99941,2624.804,1.01328,34792.857,0.70543,
S3 等量调配,3,86456.481,0.83519,16.481,51572.307,0.99937,2630.603,1.01552,32253.571,0.65395,
S3 等量调配,4,84125.289,0.81267,18.733,51572.081,0.99937,2635.351,1.01735,29917.857,0.60659,
S3 等量调配,5,82061.281,0.79274,20.726,51572.137,0.99937,2639.144,1.01881,27850.0,0.56466,
S3 等量调配,6,80225.443,0.775,22.5,51579.845,0.99952,2642.027,1.01993,26003.571,0.52723,
S3 等量调配,7,78398.177,0.75735,24.265,51584.927,0.99962,2645.392,1.02123,24167.857,0.49001,
S3 等量调配,8,76670.697,0.74066,25.934,51582.317,0.99956,2649.095,1.02266,22439.286,0.45496,
S3 等量调配,9,75150.593,0.72598,27.402,51581.834,0.99956,2650.902,1.02335,20917.857,0.42411,
S3 等量调配,10,73879.555,0.7137,28.63,51577.032,0.99946,2652.523,1.02398,19650.0,0.39841,
S3 等量调配,11,72721.688,0.70251,29.749,51568.242,0.99929,2653.446,1.02434,18500.0,0.37509,
S3 等量调配,12,71730.967,0.69294,30.706,51377.503,0.9956,2653.464,1.02434,17700.0,0.35887,
S3 等量调配,13,70824.489,0.68418,31.582,51356.514,0.99519,2653.689,1.02443,16814.286,0.34091,
S3 等量调配,14,69990.224,0.67613,32.387,51354.258,0.99515,2653.824,1.02448,15982.143,0.32404,
S3 等量调配,15,69205.609,0.66855,33.145,51354.921,0.99516,2654.26,1.02465,15196.429,0.30811,
S3 等量调配,16,68465.459,0.6614,33.86,51350.598,0.99507,2654.146,1.02461,14460.714,0.29319,
S3 等量调配,17,68223.92,0.65906,34.094,51111.228,0.99044,2651.978,1.02377,14460.714,0.29319,
S3 等量调配,18,68058.3,0.65746,34.254,50947.659,0.98727,2649.927,1.02298,14460.714,0.29319,
S3 等量调配,19,67957.387,0.65649,34.351,50848.916,0.98535,2647.757,1.02214,14460.714,0.29319,
