情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S3 等量调配,1%,28,28,67397.161,0.65108,34.892,50306.851,2629.595,14460.714
S3 等量调配,5%,138,138,65682.891,0.63452,36.548,48806.717,2415.46,14460.714
S3 等量调配,10%,275,275,64894.96,0.6269,37.31,48257.491,2176.754,14460.714
S3 等量调配,20%,550,550,64257.218,0.62074,37.926,47854.146,1763.786,14639.286
S3 等量调配,30%,825,825,64028.016,0.61853,38.147,47769.577,1497.724,14760.714
S3 等量调配,40%,1100,1100,63980.95,0.61807,38.193,47766.082,1454.154,14760.714
S3 等量调配,50%,1375,1375,64282.388,0.62099,37.901,47909.728,1465.517,14907.143
