情景,比例,目标变化数,实际执行数,M,M/M_base,相对改善%,M_access,M_crowd,M_reach
S1 只增,1%,28,28,67397.061,0.65107,34.893,50306.795,2629.551,14460.714
S1 只增,5%,138,138,65682.434,0.63451,36.549,48808.616,2413.104,14460.714
S1 只增,10%,275,275,64893.457,0.62689,37.311,48262.368,2170.375,14460.714
S1 只增,20%,550,550,64077.419,0.61901,38.099,47871.11,1745.595,14460.714
S1 只增,30%,825,825,63723.838,0.61559,38.441,47804.691,1458.433,14460.714
S1 只增,40%,1100,1100,63669.859,0.61507,38.493,47833.809,1375.336,14460.714
S1 只增,50%,1375,1375,63769.373,0.61603,38.397,48000.735,1307.924,14460.714
