情景,减站数,减站比例%,M,M/M0,M增幅%
不减站,0,0.0,11408.98290193393,1.0,0.0
减1%站,9,1.0309278350515463,11408.98290193393,1.0,0.0
减2%站,18,2.0618556701030926,11408.98290193393,1.0,0.0
减5%站,44,5.040091638029782,11409.471730331437,1.0000428459225252,0.004284592252523645
减10%站,88,10.080183276059564,11414.57847793291,1.000490453535348,0.04904535353480455
移除全部初始零边际站,263,30.126002290950744,11547.525734817063,1.0121433114655338,1.2143311465533824
零边际后再减1站,264,30.240549828178693,11547.525779069168,1.012143315344241,1.2143315344240957
