站点序号,经度,纬度,单站ΔM,单站ΔM/M0%,最近分配负载
754,113.667679,22.646113,899.6323010034454,7.885298003654201,62.18000000000001
661,113.422867,23.617419,383.77577530719185,3.3638035800907216,56.47
743,113.537688,23.334708,269.3941848124215,2.3612462839851975,68.92999999999999
700,113.78666,23.413823,183.07542820844915,1.6046603784235327,59.370000000000005
802,113.721929,23.203174,176.05149712284106,1.5430954593945327,37.68000000000001
241,113.723573,23.353179,166.31147716383137,1.4577239583349713,42.1
260,113.44575,22.843135,147.9577569996105,1.2968531750059005,51.11
353,113.457397,23.40608,147.017361130216,1.2886105833789545,43.13
198,113.527763,22.729781,146.26667448802988,1.282030797532673,44.22999999999998
789,113.519998,23.263103,128.34664816393493,1.124961350780699,32.0
